Cruise,Year,Month,Day,Station,Latitude,Longitude,BottomDepth,Niskin,Pressure,SampleNo,DOC,a254,a280,a300,a350,a375,a400,a440,S300_650,CDOM_r2,S275_295,S350_400,SlopeRatio,Salinity,Oxygen__mol_L_,Temperature,Alkalinity__M_,d18O_o__,NO3__mol__,NO2__mol_l_,PO4__mol_l_,Si__mol_l_,NH3__mol_l_,FDOM1,FDOM2,FDOM3,FDOM3_1,FDOM3_2,FDOM3_3,FDOM4_1,FDOM4_2,FDOM4_3,FDOM4_4,Fmw,Fsim,Fpw,Faw,Fpfw
2,2012,9,3,1.01,65.6715,-25.0363333333333,81,1,75,6,58.7331960674758,1.15903216470588,0.603548564705882,0.392363464705882,0.142257664705882,0.0853735647058824,0.0466831647058823,0.00545946470588233,20.0961608212693,0.990675304753797,24.9018326363404,26.0406337739276+1.54396850524977i,0.952918419881205+-0.0564992404233277i,35.088046121928,216.027599142551,8.7828,2314.71019711942,0.31,10.9083314529506,0.267199599923899,0.842924224316892,4.61573002932502,9.2137654815766,0.027264917,0.01974302,0.026428511,0.027808705,0.030944654,0.023692148,0.026459157,0.030657864,0.017943669,0.014384767,-0.00959141648478596,-0.00512658165822221,0.0964665741741278,0.90950914068435,0
2,2012,9,3,NaN,65.6715,-25.0363333333333,NaN,2,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.088046121928,216.027599142551,8.7828,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,2012,9,3,1.01,65.6715,-25.0363333333333,81,3,51,5,59.1248799818374,1.37501743921569,0.771401139215686,0.483526139215686,0.176996839215686,0.114124939215686,0.0775072392156863,0.0307563392156863,19.4908306821213,0.994618849978195,24.5987649886498,19.282883904216,1.27567873720754,35.05690270384,216.969006788139,9.2076,2292.79501036164,0.29,8.97652037834077,0.246367072345094,0.697812115129292,3.97048045136944,8.81940746724283,0.028093345,0.020181348,0.028328683,0.02904115,0.031331294,0.026123314,0.02769485,0.03074126,0.021005977,0.013553784,-0.0045980976949406,-0.00545064751809573,0.0543806861843954,0.95073980934318,0.00492824968546083
2,2012,9,3,NaN,65.6715,-25.0363333333333,NaN,4,51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.05690270384,216.969006788139,9.2076,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,2012,9,3,1.01,65.6715,-25.0363333333333,81,5,33,4,66.6593850055545,1.51709899215686,0.876864992156863,0.527960492156863,0.200243592156863,0.132074792156863,0.0885480921568627,0.0415668921568627,17.9774154136746,0.995861621949402,25.8996156430106,17.2990829369475,1.49716697338296,35.015945604168,240.958824580207,10.7298,2300.93411515488,0.24,2.04568661947919,0.0718994267652099,0.187285719675692,2.17104158153505,8.81679957766468,0.024681188,0.021086634,0.033569111,0.028755508,0.02903877,0.031098152,0.02823559,0.02670331,0.027047663,0.012568513,0.00313060802511311,-0.00728814965192379,0,1.00415754162681,0
2,2012,9,3,NaN,65.6715,-25.0363333333333,NaN,6,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.015945604168,240.958824580207,10.7298,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,2012,9,3,1.01,65.6715,-25.0363333333333,81,7,26,3,70.7677550510426,1.56161011176471,0.887982611764706,0.490715111764706,0.138125811764706,0.0628177117647058,0.00984871176470583,-0.0334476882352942,24.033298481957,0.976757995817246,29.8723190640623,26.1458914489449+23.466131253548i,0.632795367315037+-0.567938529655717i,34.956562816624,249.203286888174,11.3186,2300.77661943703,0.21,0.0977671820450199,-0.00851829248604629,0.0673411309717779,1.6924910039265,8.05167639000355,0.021756417,0.021135316,0.037513262,0.027992968,0.026360465,0.035525822,0.027634187,0.02365229,0.030851821,0.01374158,0.00473604664194388,-0.00717963897824712,0,1.0024435923363,0
2,2012,9,3,NaN,65.6715,-25.0363333333333,NaN,8,26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.956562816624,249.203286888174,11.3186,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,2012,9,3,1.01,65.6715,-25.0363333333333,81,9,10,2,75.7393675331154,1.73472346078431,1.03415086078431,0.560884360784314,0.156477560784314,0.0931450607843137,0.0553758607843136,0.0162248607843136,25.0635009784784,0.997625579279612,28.6208794097914,26.0432460111735,1.09897511997975,34.853419020384,250.77081100393,11.3883,2290.69415443823,0.19,0.0582691515278279,0.016028727167704,0.0918325529740586,1.6558093342294,7.6199338349633,0.023946574,0.022073356,0.043826814,0.02957391,0.029622541,0.041514064,0.029211559,0.026428576,0.035151921,0.017540755,0.00582807441036097,-0.00507504263124902,0,0.999246968220888,0
2,2012,9,3,NaN,65.6715,-25.0363333333333,NaN,10,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.853419020384,250.77081100393,11.3883,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
