wbic,elevation,area,elevation_ned,depth_ned,longitude,latitude,perimeter
1127600,479.9597,5928.13,483.1945,3.2348,-89.38414,45.71119,445.839
1127700,479.7253,4714.33,481.6056,1.8803,-89.39027,45.70926,256.288
1127800,483.8116,2094.9,483.8116,0,-89.40277,45.70652,173.091
1127900,479.5318,4119.11,481.3853,1.8535,-89.37609,45.71225,271.771
1128000,487.7093,2962.27,487.7093,0,-89.30528,45.70727,223.832
1128100,481.2921,292.91,481.3455,0.0534,-89.3984,45.70067,62.671
1128200,481.2921,1572.16,481.3455,0.0534,-89.39995,45.70076,150.91
1128300,480.7122,3359.43,480.8346,0.1224,-89.40526,45.69501,246.215
1128400,476.0995,1292.74,478.4089,2.3094,-89.40921,45.69221,146.291
1128500,476.8244,47830.43,476.8466,0.0222,-89.41945,45.69017,1000.706
1128600,487.0833,2067.48,487.0833,0,-89.3886,45.68206,168.334
1128700,480.6117,3629.79,480.6117,0,-89.32528,45.66105,222.827
1128800,480.9912,803.96,481.0766,0.0854,-89.35519,45.66758,102.043
1128900,474.4422,101846.38,474.974,0.5318,-89.40671,45.66528,1592.946
1129000,501.5521,33702.98,502.3303,0.7782,-89.18156,45.68921,786.533
1129100,495.8033,14583.95,495.8677,0.0644,-89.2454,45.70055,911.484
1129200,497.1561,1285.89,497.1561,0,-89.20974,45.66312,174.321
1129300,508.6971,2888.48,508.7027,0.0056,-89.12896,45.71771,241.994
1129400,502.051,5746.62,502.1067,0.0557,-89.17349,45.70514,280.372
1129500,502.3295,9674.11,502.4606,0.1311,-89.17501,45.71667,405.454
1129600,502.6381,5715.94,502.6381,0,-89.16741,45.71363,373.552
1129700,501.8867,1786.87,501.8867,0,-89.1233,45.70039,167.009
1129900,502.3147,1433.73,502.3295,0.0148,-89.1747,45.69522,154.39
1130000,500.6105,7708.74,504.1731,3.5626,-89.16337,45.67702,345.471
1130100,502.0247,1525.9,502.0247,0,-89.14716,45.66889,144.745
1130200,486.1589,17266.16,487.0944,0.9355,-89.95231,45.81659,474.974
1130300,486.2977,4357.93,486.7387,0.441,-89.94766,45.80823,304.745
1130400,486.2257,12223.43,486.3736,0.1479,-89.9642,45.81496,474.025
1130600,474.3704,1780.83,477.899,3.5286,-89.99677,45.78299,153.059
1130700,474.5761,1414.64,477.899,3.3229,-89.99691,45.7822,168.171
1130800,487.6473,8067.34,487.6828,0.0355,-90.00602,45.74313,398.777
1130900,474.6912,2686.32,475.3105,0.6193,-89.98744,45.7386,201.661
1131000,476.8312,418.16,476.8312,0,-89.98294,45.73599,75.029
