wbic,depth,wtemp,o2sat,do
972200,1,18.3,88.4,8.22
972200,1.5,18.3,87.9,8.3
974900,0,0,0,
974900,0.1,21.1,95.3,8.31
974900,0.5,20,95,8.1
974900,1,20.9,94.9,8.26
974900,1.5,20.8,92.8,8.16
974900,2,20.7,88.5,8
974900,2.5,20.2,89.1,7.92
974900,3,20,81.7,7.28
976100,0.1,21.9,104.3,9.008
976100,1,21.9,101.3,8.82
976100,2,21.8,100,8.95
976100,3,21.8,8.9,102.9
976100,4,21.5,9.4,107
981200,0.1,23.3,92.8,7.71
981200,1,23.3,90,7.54
981200,2,23.3,90.9,7.67
981200,3,23.2,90.7,7.81
981200,4,23,86.4,7.84
981200,5,21.6,93.5,8.2
981200,6,20.6,93.3,8.36
981200,7,19.4,77.2,7.09
981200,8,17.8,22.5,1.88
984000,0.1,19,89.5,8.34
984000,1,19.1,87.8,8.06
984000,2,19.1,87.4,8.01
984000,3,17.4,94.8,8.97
984000,4,13.2,112.7,12.02
984000,5,9.7,90,10.12
984000,6,7.8,28.4,3.22
984000,7,6.6,3.4,0.44
984000,8,6,2.5,0.31
984000,9,5.6,2.2,0.26
989000,0.1,18.8,101.1,9.35
989000,1,18.8,100.2,9.17
989000,2,18.6,99,9.17
989000,3,18.6,98.6,9.12
989000,4,18.6,98.3,9.09
993500,0.1,20.1,90.9,8.19
993500,1,19.9,90.4,8.2
993500,2,19,87.3,8.12
994200,0.1,17.6,98.2,9.34
994200,0.5,17.4,97.2,9.2
994200,1,14.8,100.3,10.09
994200,1.5,13,97.6,10.43
994200,2,10.3,27.7,3.44
994200,2.5,8,2.8,0.34
994200,3,6.9,4.4,0.55
994200,3.5,5.7,3.4,0.44
994200,4,5.5,4.1,0.53
998600,0.1,19.1,94.3,8.74
998600,1,19.2,93.5,8.66
998600,2,19.3,91.9,8.46
998600,3,19.2,90.2,8.37
998600,4,18.9,88.4,8.23
998800,0.1,21,97.3,8.93
998800,1,20.8,101.4,9.05
998800,2,20.7,99.4,8.91
998800,3,19.7,104.6,9.59
998800,3.5,18,106.5,10.08
998800,4,16.2,104.3,10.23
999100,0.1,19.3,86,7.93
999100,2,19.4,84.3,7.76
999100,4,19.4,83,7.64
999100,5,19.4,85,7.8
999100,6,18.8,69,6.41
1001100,0.1,23.4,95.5,8.12
1001100,1,23.4,95.1,8.07
1001100,2,23.4,92.6,7.94
1001100,3,23.3,85.9,7.4
1001100,4,22.8,81.9,7.04
1001100,5,20.6,4.2,0.38
1001100,6,17,2.5,0.25
1001300,0.1,20.8,95.8,8.51
1001300,0.5,20.5,95.2,8.43
1001300,1,20.3,94.4,8.49
1001300,1.5,20.2,94.4,8.58
1001300,2,20.1,92.6,8.77
1001300,2.5,19.9,95.5,8.47
1007000,0.1,20.1,93,8.21
1007000,1,20.2,91.9,8.12
1007000,2,20.1,90.9,8.11
1007000,3,19.8,94.1,8.49
1007000,4,16.8,93.2,9.02
1007000,5,12.6,105.1,11.06
1007000,6,9.5,97.1,10.83
1007000,7,7.9,73.4,8.6
1007000,8,6.9,55,5.03
1007000,9,6.1,9.6,1.13
1007000,10,5.8,3.1,0.41
1007400,0.1,17.9,82.2,7.78
1007400,1,17.8,84.1,8
1007400,2,17.8,83.6,7.92
1007400,3,17.7,79.8,7.59
1007400,4,15.3,4.3,0.4
1007400,5,10.4,2,0.24
1007400,6,7.9,1.9,0.23
1007400,7,7,1.8,0.22
1008400,0.1,17.7,92.4,8.74
1008400,1,17.6,91.6,8.74
1008400,2,17.5,90.5,8.56
1008400,3,17.4,91.8,8.73
1008400,4,16.9,93.7,8.95
1008400,5,14.8,115.9,11.68
1008400,5.5,12.2,112.2,11.94
1008400,6,11.5,113.1,12.24
1008400,7,8.9,108.6,12.46
1008400,8,8.2,107.5,12.52
1008400,10,6.2,26.2,2.33
1008400,11,5.9,3.8,0.49
1008400,13,5.7,3.1,0.4
1008400,14,5.5,2.6,0.33
1008500,0.1,23.8,94.6,9.2
1008500,1,23.8,96.2,8.1
1008500,2,23.7,95.8,8.2
1008500,3,22.8,96.3,8.31
1013200,0.1,15.1,95.6,9.56
1013200,1,14.6,95.3,9.55
1013200,2,14.4,96.8,9.81
1013200,4,14.1,98.1,10
1013200,5,11.6,101.6,11.89
1013200,6,9.7,108.5,12.24
1013200,7,8,94.2,11.11
1013200,8,7,57.6,7.01
1013200,9,6.3,16.8,2.03
1013200,10,5.6,6,0.78
1018900,0.1,24,92.2,7.73
1018900,1,23.6,91.8,7.55
1018900,2,23.4,90,7.62
1018900,3,22.6,88.5,7.64
1018900,4,21,88.4,7.47
1110100,0.1,26.6,94.9,7.55
1110100,1,24.4,91.5,7.62
1110100,2,22.3,26.9,3.4
1110900,0.1,26.6,88.9,7.02
1110900,1,23.8,77.9,6.5
1110900,2,17.4,6.4,0.62
1110900,2.5,14.3,2.6,0.25
1113500,0.1,17.4,85.6,8.2
1113500,1,17,88,8.51
1113500,1.5,17,89.5,8.66
1113900,0.1,23.6,64.5,5.48
1113900,0.5,23.5,63.1,5.37
1113900,1,23.2,60.2,5.19
1113900,1.5,23,56,4.78
1115800,0.1,19.8,89.6,8.19
1115800,0.5,19.7,92.2,8.42
1115800,1,18.4,90.2,8.53
1115800,2,15.4,6.2,0.61
1115800,3,10.3,4.3,0.49
1115800,4,7.2,4,0.49
1115900,0.1,21.7,77,6.35
1115900,0.5,19.6,68.5,6.2
1115900,1,16.8,30.2,2.89
1115900,1.5,13.3,4.3,0.46
1115900,2,9.8,2.6,0.29
1116000,0.1,19.4,86.6,7.73
1116000,0.5,19.2,85.7,7.89
1116000,1,17.2,64.7,6.02
1116000,1.5,14.2,3.2,0.54
1116000,2,11.3,2.5,0.27
1116500,0.1,20.1,70.7,6.4
1116500,0.5,19.5,66.5,6.12
1116500,1,18.1,64,6.04
1116600,0.1,21.9,81.2,7.16
1116600,0.5,18.6,76.2,7.07
1116600,1,15.1,3.7,0.41
1116600,1.5,12.2,2.9,0.29
1122300,0.1,23.2,77.1,6.55
1122300,1,22.4,58.2,5.01
1122300,2,17.7,3.4,0.33
1125000,0.1,25.2,76.1,6.21
1125000,0.5,24.8,73.6,6.16
1125000,1,23.4,60.1,5.08
1125000,2,19.7,7.6,0.72
1125000,3,13.1,2.3,0.25
1125300,0.1,24.5,102.8,8.48
1125300,0.5,22.8,86.1,7.27
1125400,0.1,24.1,62.8,5.45
1125400,0.5,22.7,61.4,5.37
1125400,1,21.9,67.3,5.92
1127100,0.1,23.9,64.4,5.4
1127100,1,22.4,55.6,4.91
1127100,2,17.2,4.8,0.47
1127100,3,11,1.5,0.18
1127100,4,7.6,1.2,0.15
1127100,5,6,1,0.13
1127100,6,5.2,0.9,0.12
1127100,7,5,0.8,0.11
1127100,8,5,0.8,0.11
1129400,0.1,17.7,77.9,7.45
1129400,1,17.6,77,7.33
1129400,2,17.3,72.8,6.94
1129400,3,12.4,13,1.39
1129400,4,8.6,7.4,0.87
1129400,5,6.6,2.9,0.36
1129400,6,5.5,2.1,0.27
1129400,7,5.1,1.9,0.25
1129400,8,4.7,1.7,0.22
1133400,0.1,19.7,73.5,6.6
1133400,0.5,19.7,74.7,6.5
1133400,1,19.7,74,6.62
1133400,1.5,19.2,60.9,5.99
1133400,2,17.9,85.3,7.05
1133400,2.5,15.3,75,7.3
1133400,3,13.2,48.4,4.95
1138100,0.1,23.2,72.7,6.22
1138100,1,23.2,62.4,6.2
1138100,2,23.1,75.3,6.45
1138100,3,23,66.1,5.62
1138100,4,22.4,40.2,3.51
1138100,5,16.9,6.6,0.67
1138100,6,10.6,4,0.46
1138100,7,7.5,3.6,0.45
1138100,8,6.6,3.4,0.43
1138400,0.1,21.4,94.4,8.36
1138400,1,20.9,96,8.59
1138400,2,19.7,98.1,9.16
1138400,3,17.6,93.1,8.64
1138400,3.5,15.7,94.2,9.05
1138400,4,14.1,96,10.15
1138400,4.5,12,94.5,10.09
1138400,5,10.5,81,9.15
1138400,6,8.6,14.3,1.84
1138400,6.5,8.2,4,0.5
1139900,0.1,22.4,79.2,6.85
1139900,0.5,22.3,78.4,6.85
1139900,1,19,55.3,5.19
1139900,1.5,16.4,81.2,8.02
1139900,2,14.2,93.6,7.47
1139900,2.5,12.9,49.8,5.36
1139900,3,10.8,5.1,0.58
1139900,3.5,9.2,3.7,0.43
1147500,0.1,18.2,82.6,7.74
1147500,1,18,81.4,7.65
1147500,2,17.9,81.8,7.65
1147500,2.5,17.6,73.9,7.23
1149800,0.1,20.9,79.8,6.91
1149800,1,21,76.1,6.77
1149800,2,21,74.4,6.61
1149800,3,16.6,27.9,2.72
1149800,4,11.3,3.7,0.42
1153600,0.1,22.8,106,9.04
1153600,1,22.8,105,8.98
1153600,2,22.7,103.3,9.04
1153600,3,22.5,102.4,8.73
1153600,4,18.6,2.8,0.28
1155000,0.1,17.2,79.7,7.65
1155000,0.5,17,77.5,7.53
1155000,1,16.4,55.4,5.55
1155000,2,12.8,5.1,0.54
1155000,3,8.1,1.7,0.22
1155000,4,6.1,1.4,0.18
1155000,5,5.6,1.3,0.18
1155000,6,5.4,0.7,0.08
1155000,7,5.4,1,0.13
1161500,0.1,19.6,84.2,7.67
1161500,0.5,19.7,82.6,7.55
1162500,0.1,23.1,88.2,7.45
1162500,1,23,89.3,7.6
1162500,2,23,86.7,7.37
1162500,3,20.3,85.6,7.94
1162500,4,18.3,68,6.59
1162600,0.1,20.9,85.3,7.55
1162600,0.5,20.8,85.8,7.53
1162600,1,20.7,84.2,7.43
1162600,1.5,20.7,86.3,7.51
1162600,2,20.7,84.5,7.52
1162600,2.5,20.7,83.1,7.44
1162600,3,19.4,99.8,8.64
1162600,3.5,17.7,89.2,8.75
1163900,0.1,19,82.1,7.65
1163900,0.5,19.1,80.4,7.52
1166500,0.1,18,26.3,2.75
1166500,0.5,17.5,13.5,1.5
1172900,0.1,19.6,85.2,7.74
1172900,1,17.4,74.5,7.17
1172900,2,16.4,64.3,6.26
1172900,3,11.9,4.4,0.49
1172900,4,8.1,2.8,0.33
1172900,5,6.5,2.7,0.34
1172900,5.5,6.2,2.8,0.34
1173500,0.1,17,79.6,7.67
1173500,1,16.8,82,7.91
1173500,2,16.5,77.8,7.4
1173500,3,13.6,53.2,5.47
1173500,4,9,47.6,5.49
1173500,5,7,41.6,5.02
1173500,6,6.1,32.7,4.02
1173500,7,5.6,14.3,1.78
1173500,8,5.5,2.3,0.3
1177100,0.1,23.2,91.3,7.85
1177100,0.5,20.2,81.3,7.4
1177100,1,18.2,8.2,0.79
1177300,0.1,24.8,92.1,7.69
1177300,1,24.7,91.7,7.55
1177300,2,23.3,89.2,7.69
1177300,3,18.7,78.3,7.3
1177300,4,13.3,28.4,2.94
1178200,0.1,21.2,86,7.75
1178200,1,20.7,87.3,7.65
