wbic,depth,wtemp,o2sat,do
2017300,0.75,11.9,30.1,3.13
2017300,1,10.7,26,2.97
2017300,1.25,10,12,1.35
2017500,0.1,15.6,83.3,8.31
2017500,0.5,15.5,82.4,8.17
2017500,1,14.2,77.2,7.9
2017500,1.5,11.3,49.3,5.41
2017500,2,9,13.2,1.58
2017500,2.5,7.8,4,0.49
2020500,0.1,21,99.3,8.35
2020500,0.5,22.2,86.9,7.51
2020500,1,21.5,80.9,7.08
2020500,2,19.9,16.3,1.58
2025330,0.1,19.5,95.2,8.4
2025330,1,18.4,88.2,8.23
2025330,2,14,4.7,0.48
2025330,3,10.3,2.5,0.27
2026800,0.1,23.3,70.1,6.02
2026800,0.5,22.3,65,5.62
2026800,1,20.9,28.6,2.55
2026800,2,13.3,4.8,0.49
2026800,3,8,2.1,0.26
2034000,0.1,18.4,51,4.76
2034000,1,17.9,45.2,4.28
2034000,2,17.4,23.1,2.25
2034000,3,12.5,2.4,0.28
2037400,0.1,15.4,81.3,8.13
2037400,0.5,13.9,81.7,8.31
2037400,1,12.7,58.1,6.12
2037400,1.5,10.2,4.2,0.48
2037400,2,8.2,3.4,0.42
2037400,2.5,6.3,2.7,0.34
2037400,3,5.4,2.6,0.34
2037400,3.5,5.1,2.7,0.35
2037400,4,4.8,2.9,0.37
2046100,0.1,24.7,94.2,8.1
2046100,1,23.6,97.8,8.31
2046100,2,23,97.5,8.41
2046100,3,22.6,95.3,8.47
2046100,4,21.6,94.3,8.27
2046100,5,19.6,43.5,4
2295400,0.1,23.4,83.3,7.17
2295400,1,23.3,81,6.96
2295400,2,23.2,82.9,7.26
2295400,3,23.1,78.6,6.81
2295400,4,20.2,27.8,2.52
2300600,0.1,18.2,91,8.58
2300600,1,18.2,85.1,8.1
2300600,2,18.1,85.1,7.98
2300600,3,18,85,8.1
2311700,0.1,22.7,84.7,7.24
2311700,1,22.4,82.6,7.15
2311700,2,22.1,82.5,7.26
2311700,3,21.7,73.8,6.37
2311700,4,18.5,4.8,0.44
2311700,5,15.8,1.9,0.2
2312100,0.1,22.4,99,8.59
2312100,1,22.2,97.1,8.44
2312100,2,22.1,94.5,8.21
2312100,3,22,93.9,8.14
2312100,4,21.1,63.7,5.61
2312100,5,17.5,4.8,0.47
2312100,6,16.2,2.5,0.26
2312100,7,14.7,1.9,0.19
2312100,8,13.6,1.9,0.2
2312100,9,13.1,1.8,0.21
2312500,0.1,24.2,87.5,7.31
2312500,0.5,22.5,81.7,6.93
2312500,1,22.2,75.7,6.59
2312500,2,21.6,72.1,6.24
2313100,0.1,23,90.8,7.61
2313100,1,22.8,89.3,7.55
2313100,2,22.6,88.5,7.55
2313100,3,22.4,87.4,7.36
2313100,4,19.3,5.2,0.47
2316800,0.1,19.8,85.5,7.77
2316800,1,19.2,81.5,7.44
2316800,2,18.3,80.2,7.55
2316800,3,17.7,73,6.95
2316800,4,13.1,19.4,2.01
2316800,5,9.7,4.5,0.51
2316800,6,7.9,1.6,0.18
2316800,7,6.6,1.4,0.18
2316800,8,6.4,1.2,0.16
2320800,0.1,18.6,92,8.51
2320800,2,18.7,89.5,8.28
2320800,4,18.7,90.4,8.36
2320800,6,18.7,89.9,8.32
2320800,7,18.6,87.7,8.16
2320800,8,16,49.6,4.92
2320800,9,15,36.1,3.66
2320800,10,14,24.1,2.44
2320800,11,12.9,3,0.51
2320800,12,12.3,2,0.22
2320800,13,11.7,1.7,0.19
2321400,0.1,18.7,92.3,8.54
2321400,2,18.6,88.9,8.22
2321400,4,18.5,88.9,9.29
2321400,6,17.2,89.6,8.51
2321400,7,13.2,87.5,9.03
2321400,8,10,79,8.86
2321400,9,8.6,77.8,9.01
2321400,10,7.7,70.1,8.34
2321400,11,6.9,60.6,7.32
2321400,12,6.2,51.5,6.28
2321400,14,5.8,46.5,5.77
2321400,16,5.5,42.8,5.45
2321400,18,5.4,32.3,4.08
2321400,20,5.3,28.4,3.57
2323400,0.1,17.4,85.2,8.11
2323400,1,17.4,85.3,8.09
2323400,2,17.5,85.5,8.11
2323400,3,17.5,84.6,8
2323400,4,17.5,83.4,7.88
2323400,5,15.4,73.5,7.39
2323400,6,11.6,29,3.16
2323400,6.5,10.3,12.8,1.45
2326100,0.1,23.1,88.2,7.49
2326100,0.5,22.3,90.1,7.74
2326100,1,21,73.9,6.51
2326100,1.5,18.5,70,6.43
2326100,2,17.5,58.3,5.62
2326100,2.5,16.5,44.3,4.27
2327200,0.1,13.7,92.4,9.56
2327200,0.5,13.3,92.3,9.63
2327200,1,13,95.1,9.94
2327200,1.5,12.9,95,9.92
2327200,2,12.8,96.5,10.07
2327200,2.5,12.8,95.3,9.99
2327200,3,12.8,94.7,9.94
2329300,0.1,15.8,101.1,9.97
2329300,1,14.4,100.5,10.15
2329300,2,13.7,98.5,10.15
2329300,3,12.9,97.8,10.19
2329300,4,12.6,95.4,10.29
2329300,5,12.3,94.9,10.2
2329300,6,11.2,86,9.36
2329300,7,9.7,74.1,8.32
2329300,8,8.2,60,7.02
2329300,8.5,7.8,20.9,2.53
2330500,0.1,12.7,84.2,8.92
2330500,0.5,12.5,83.6,8.83
2330500,1,12.2,82.4,8.8
2330500,1.5,11.7,82.1,8.83
2334700,0.1,15.1,99.7,10.01
2334700,0.5,14.2,99,10.11
2334700,1,13,100.1,10.59
2334700,1.5,12.7,100.3,10.59
2334700,2,12.7,101.1,10.76
2337600,0.1,26.5,94.7,7.63
2337600,1,24.1,84.1,7
2337600,2,20.7,19.8,1.72
2337600,3,16.4,3.8,0.34
2339800,0.1,14.7,101.8,10.17
2339800,1,14.6,101.4,10.18
2339800,2,14.6,103.4,10.13
2339800,3,14.5,100,10.3
2339800,4,13.8,103,10.62
2339800,5,13.5,104.8,10.73
2339800,6,10.6,114.5,13.68
2339800,7,9.6,117.6,13.24
2339800,8,9.2,114.3,13.01
2339800,9,8.7,106.4,12.71
2339800,10,7.8,78,9.28
2339900,1,15.1,100.1,9.95
2339900,2,15.1,101.8,10.02
2339900,3,15,101.6,10.11
2339900,4,14.8,100.7,10.18
2339900,5,12.7,91,9.64
2339900,6,10.6,66.4,8.4
2339900,7,9.7,34.7,3.93
2339900,7.5,9.3,14.8,1.63
2758200,0.1,23.1,92.6,7.91
2758200,1,23,90.8,7.71
2758200,2,22.9,90,7.76
2758200,3,22.7,90.7,7.75
2758200,4,22.4,87.5,7.57
2758200,5,22.4,86.2,7.52
2758200,6,21.9,88.9,7.81
2758200,7,18.3,97.2,9.12
2759400,0.1,24.5,79.2,6.47
2759400,0.5,24.1,76.3,6.41
2759400,1,21.9,72.6,6.32
2759400,2,19.9,5.4,0.61
2768200,0.1,18.5,89.3,8.26
2768200,1,18.6,87.9,8.18
2768200,2,18.5,85.5,7.81
2768200,3,18.5,83,7.83
2768200,3.5,18.3,86,7.94
2768200,4,15,98.8,9.8
2768200,4.5,12.8,106.9,10.5
2768200,5,11,104.4,11.31
2768200,5.5,9.8,81,9.9
2768200,6,9,60.6,6.86
2779500,0.1,25.6,89.1,7.36
2779500,0.5,25,87.4,7.26
2779500,1,23.5,80.7,6.82
2779500,2,18.8,33.4,3.09
2779500,3,13.1,23.6,2.52
2779500,4,9,11.8,1.36
2779500,5,6.8,2.6,0.32
2779500,6,5.8,1.9,0.24
2779500,7,5.4,1.7,0.22
2779500,8,5.1,1.6,0.21
2779500,9,5,1.6,0.21
2779500,10,4.9,1.5,0.19
2779500,,,,0
2782200,0.1,22.2,80.6,7.03
2782200,1,21.9,79.3,7.03
2782200,2,20.5,43.9,3.9
2782200,3,15.3,27,2.69
2949200,0.1,25.8,101,8.14
2949200,1,22,98.4,8.51
2949200,2,20.2,91.6,8.3
2949200,3,18.9,87.4,8.03
2949200,4,17.9,69.2,6.53
2949200,5,17.3,59,5.64
2949200,6,16.5,39.4,3.8
2949200,7,15.2,19,1.91
2954700,0.1,27.5,97.2,7.82
2954700,0.5,25,101.1,8.3
2954700,1,22.3,67.3,6.17
2954700,2,18.3,4.7,0.46
2954700,3,12.8,3.3,0.35
2954700,4,10.1,3,0.35
