Station ID ,date,Latitude (N) ,Longitude (W) ,Temp (°C) ,Sp. Cond (μS cm−1) ,DO (mg L−1) ,Chl-a (μg L−1) ,Water depth (m)
GB-54 ,August 2014,45°06′40.74″ ,87°30′18.73″ ,22,334,9.5,1.7,22.5
GB-43 ,,45°01′14.88″ ,87°26′51.71″ ,21.2,299,11.6,1.5,31.2
GB-47 ,,45°04′00.81″ ,87°22′59.11″ ,21.3,298,11.8,1.5,29.4
GB-42 ,,45°01′09.16″ ,87°23′09.90″ ,21.6,300,11.7,1.6,30.7
