Station ID ,date,DOC (μM-C) ,a254 (m−1) ,SUVA254 (L mg-C−1 m−1) ,S 275–295(nm
GB-54 ,August 2014,300,18.3,2.21,0.0256
GB-43 ,,293,19.7,2.43,0.023
GB-47 ,,289,16.9,2.11,0.0268
GB-42 ,,279,17.3,2.24,0.0254
