lake,sampledate,depth,rep,dic,doc,tic,toc,alk,ph,color440,color280,color253,cond,secchi,totpuf,totnuf,drsi,ca,k,mg,na,fe,cl,so4
"Minocqua",1999-07-07,1,1,,,,,883.19,8.120,,,,112,4.00,10,209,3148,13.69,0.67,3.60,4.00,,,
"Minocqua",1999-07-07,"NEAR BOTTOM",1,,,,,,6.900,,,,,,47,1077,7680,14.63,0.86,4.06,3.93,,,
"Minocqua",1999-08-22,15,1,,,,,,6.822,,,,119,,196,1895,8928,,,,,,,
"Muskesin",1998-07-20,1,1,0.92,4.67,1.06,4.37,12.38,5.380,0.028,0.399,0.606,17,3.50,11,278,44,1.00,0.52,0.30,0.98,0.01,1.73,2.54
"Muskesin",1998-07-20,5,1,,,,,,5.910,,,,,,32,392,,1.16,0.61,0.32,0.97,0.24,,
"Muskesin",1998-08-27,1,1,,,,,,5.740,,,,17,3.50,9,253,44,1.05,0.57,0.31,1.03,0.05,,
"Nixon",1998-07-30,1,1,,,,,,8.160,,,,65,1.23,21,473,4964,8.73,0.32,2.77,1.28,1.02,,
"Nixon",1998-08-31,1,1,,,,,,7.910,,,,70,1.20,35,565,559,9.54,0.60,2.97,1.45,0.76,,
"Partridge",1998-05-14,1,1,7.99,4.08,8.05,3.88,681.64,,,,,,3.00,,,,,,,,,,
"Partridge",1998-07-31,3,1,,,,,,9.160,,,,,,11,199,8052,9.66,0.04,2.87,1.06,0.33,,
"Randall",1998-07-03,1,1,5.76,11.26,6.33,10.99,405.09,7.730,,,,46,1.75,29,489,4412,5.87,0.33,1.75,0.88,1.24,0.69,0.94
"Randall",1998-07-03,2,1,,,,,,7.300,0.221,2.811,3.686,,,49,560,4578,6.04,0.34,1.78,0.90,1.29,,
"Round",1998-08-07,1,1,14.94,6.41,15.11,6.27,1212.06,8.620,0.067,1.087,1.520,,,15,363,5239,16.86,0.57,4.47,1.55,0.08,0.76,3.03
"Round",1998-08-07,6,1,,,,,,6.980,,,,,2.40,65,1596,8879,21.03,1.08,4.47,1.60,7.25,,
"Sanford",1998-07-22,1,1,1.82,7.54,2.21,7.56,135.33,6.980,0.115,1.389,1.971,24,,12,403,157,2.46,0.51,0.79,0.50,0.05,0.41,2.52
"Sanford",1998-07-22,12,1,,,,,,6.160,,,,,,28,559,1269,2.80,0.57,0.86,0.51,1.42,,
"Sanford",1998-08-25,1,1,,,,,,7.010,,,,24,1.50,10,253,107,2.41,0.52,0.78,0.52,0.07,,
"Sparkling",1998-06-14,0,1,7.98,3.27,8.35,4.23,,8.060,,,,,,3,168,2396,,,,,0.00,,
"Sparkling",1998-06-14,18,1,,,,,,6.710,,,,,,10,457,3496,,,,,0.06,,
"Sparkling",1998-07-13,18,1,,,,,,6.640,,,,,,12,691,4071,,,,,1.50,,
"Sparkling",1998-08-11,0,1,8.25,3.53,8.26,3.53,625.00,8.200,0.016,0.291,0.437,91,,3,210,2156,10.03,0.69,2.78,2.48,0.00,,
"Statenaker",1998-07-19,1,1,7.38,5.85,7.42,5.35,551.93,7.650,0.030,0.510,0.736,64,5.00,7,363,654,7.20,0.61,2.44,1.14,0.04,0.41,2.89
"Statenaker",1998-07-19,18,1,,,,,,6.680,,,,,,77,457,1710,7.74,0.68,2.33,1.19,0.84,,
"Statenaker",1998-08-21,18,1,,,,,,8.180,,,,,,18,281,1401,7.72,0.68,2.25,1.23,0.13,,
"Tomahawk",1999-06-09,1,1,,,,,,7.879,0.013,0.235,0.349,,5.66,8,404,3674,,,,,,,
"Tomahawk",1999-06-09,"NEAR BOTTOM",1,,,,,,7.147,,,,,,12,485,4396,,,,,,,
"Tomahawk",1999-08-24,1,1,10.61,,10.45,3.75,,8.151,,,,98,4.10,8,599,3148,,,,,,3.33,2.40
"Tomahawk",1999-08-24,14,1,,,,,,6.863,,,,99,,10,347,5053,,,,,,,
"Trout",1998-06-15,0,1,7.46,5.38,8.18,4.91,,8.330,,,,,,0,177,4430,,,,,0.00,,
"Trout",1998-06-15,32,1,,,,,,6.970,,,,,,13,691,5937,,,,,0.01,,
"Trout",1998-07-15,0,1,10.55,3.06,10.80,2.78,,8.560,,,,,,4,130,4262,,,,,0.00,,
"Trout",1998-07-15,32,1,,,,,,6.960,,,,,,1,866,6129,,,,,0.12,,
"Trout",1998-08-12,32,1,,,,,,6.860,,,,,,4,495,6033,13.17,0.81,,1.87,0.00,,
"Upper Kaubeshine",1998-06-05,1,1,10.83,3.42,11.11,3.28,905.79,7.670,0.027,0.273,0.387,,,9,181,2372,10.96,0.72,3.53,2.08,0.00,1.94,3.59
"Upper Kaubeshine",1998-06-05,12,1,,,,,,6.930,,,,,7.00,128,451,3475,12.47,0.77,3.58,2.14,0.21,,
"Upper Kaubeshine",1998-07-21,14,1,,,,,,6.930,,,,,7.00,270,1055,4853,13.51,0.87,3.67,2.22,0.70,,
"Upper Kaubeshine",1998-08-27,1,1,,,,,,8.680,,,,101,3.00,10,252,2261,11.45,0.76,3.63,2.26,0.01,,
"Upper Kaubeshine",1998-08-27,14,1,,,,,,6.790,,,,,,87,553,4908,13.64,0.82,3.60,2.26,0.36,,
"Verna",1998-06-18,1,1,,,,,,8.620,,,,,3.00,,,,,,,,,,
"Ward",1998-06-01,0,1,19.37,,,,,,,,,,,,,,,,,,,,
"Ward",1998-07-01,,1,,,,,,,,1.682,2.341,,,,,,,,,,,,
"Ward",1999-05-15,0,1,,7.93,,,,7.930,0.115,,,,,,,,,,,,,,
"Ward",1999-06-15,0,1,,8.53,,,,8.530,0.111,,,,,,,,,,,,,,
"Ward",1999-06-24,"NEAR BOTTOM",1,,,,,,6.940,,,,,,73,2288,11424,38.00,1.73,9.16,2.91,,,
"Ward",1999-07-26,6,1,,,,,,7.070,,,,240,,40,1702,12475,38.42,0.80,8.95,0.27,,,
"Ward",1999-08-15,0,1,,8.02,,,,8.020,0.120,,,,,,,,,,,,,,
"White Birch",1999-06-10,1,1,,,,,,7.895,0.035,0.569,0.811,112,5.00,14,613,95,,,,,,,
"White Birch",1999-07-10,1,1,,,,,490.12,7.520,,,,59,3.25,17,772,330,7.63,0.49,2.42,1.39,,,
"White Birch",1999-08-25,1,1,7.82,,7.65,,,7.817,,,,63,5.40,12,456,622,,,,,,0.57,2.07
"White Birch",1999-08-25,6,1,,,,,,6.941,,,,62,,8,338,858,,,,,,,
"White Birch",2000-07-04,1,2,7.51,6.08,7.63,6.07,,,,,,,,,,,,,,,,,
"White Sand",1998-07-30,1,1,,,,,,8.110,,,,73,4.50,7,202,4026,9.20,0.60,2.55,1.70,0.00,,
"White Sand",1998-07-30,18,1,,,,,,6.830,,,,,,7,159,5460,9.56,0.63,2.55,1.68,0.06,,
"White Sand",1998-08-24,1,1,,,,,,7.590,,,,78,4.00,3,36,4319,9.28,0.60,2.47,1.76,0.00,,
"Wild Rice",1998-06-10,1,1,11.17,5.19,11.24,5.18,814.58,7.900,0.071,0.722,0.995,79,2.30,17,254,4247,11.95,0.63,3.05,1.94,0.21,2.07,2.79
"Wild Rice",1998-08-10,1,1,,,,,,8.090,,,,97,2.50,15,272,5239,12.56,0.57,3.42,1.94,0.21,,
"Wild Rice",1998-08-25,1,1,,,,,,7.970,,,,102,2.00,15,301,5554,12.72,0.60,3.22,2.11,0.27,,
"Wild Rice",1998-08-25,7,1,,,,,,,,,,,,32,260,5554,13.18,0.61,3.26,2.13,0.00,,
"Wildcat",1999-06-08,"NEAR BOTTOM",1,,,,,,7.541,,,,,,26,566,5907,,,,,,,
"Wildcat",1999-07-06,1,1,,,,,1859.05,8.320,,,,173,2.00,17,948,5250,25.51,1.00,5.96,2.18,,,
"Wildcat",1999-07-06,"NEAR BOTTOM",1,,,,,,7.280,,,,,,21,461,6432,27.05,1.09,6.14,2.19,,,
"Wildcat",2000-07-05,1,1,21.71,5.08,22.29,4.91,,,,,,,,14,384,,,,,,,,
"Allequash",1998-06-16,1,1,,,,,,,,,,,,,,,,,,,,0.32,3.36
"Big Crooked",1999-08-27,1,1,,,,,,,,,,,,,,,,,,,,0.40,2.00
"Big Muskellunge",1998-06-17,1,2,,,,,,,,,,,,,,,,,,,,0.41,2.56
"Sparkling",1998-06-14,1,1,,,,,,,,,,,,,,,,,,,,5.08,2.63
"Muskesin",1998-08-27,5,1,,,,,,,,,,,,,,,1.03,0.57,0.30,1.03,0.03,,
"Big",1999-07-08,"NEAR BOTTOM",1,,,,,,6.980,,,,,,38,999,7352,19.79,0.99,4.45,1.78,,,
"Boulder",1998-06-05,1,1,9.86,7.05,10.15,6.07,595.27,7.670,0.090,1.051,1.401,,2.00,18,273,4192,9.04,0.67,2.60,1.60,0.44,1.17,3.04
"Brandy",1998-06-03,10,1,,,,,,6.870,,,,,,50,641,7831,15.11,0.84,3.91,11.77,2.15,,
"Ike Walton",1998-09-01,8,1,,,,,,6.100,,,,,,26,1182,360,1.82,0.41,0.44,0.37,2.84,,
"Katinka",1999-07-19,1,1,,,,,53.15,6.790,,,,15,5.50,9,447,22,1.36,1.67,0.46,2.88,,,
"Little Sugarbush",1998-08-24,1,1,,,,,,7.850,,,,63,3.10,7,181,1962,7.31,0.53,2.28,1.24,0.16,,
