lake,sampledate,depth,rep,dic,doc,tic,toc,alk,ph,color440,color280,color253,cond,secchi,totpuf,totnuf,drsi,ca,k,mg,na,fe,cl,so4
"Lehto",1998-07-03,2,1,,,,,,6.930,,,,62,,50,527,4853,7.39,0.35,2.34,1.04,2.57,,
"Little Crooked",1999-06-10,1,1,,,,,,8.273,0.045,0.587,0.835,126,3.00,21,1384,5940,,,,,,,
"Little Crooked",1999-08-20,1,1,14.83,,15.24,5.17,,8.488,,,,112,2.00,19,841,6826,,,,,,0.93,2.32
"Little Musky",1998-06-01,1,1,,,,,1083.22,7.890,0.091,0.538,0.694,,1.20,34,348,7169,17.29,0.82,4.53,10.23,0.67,20.40,3.87
"Little Spider",1998-09-01,1,1,,,,,,7.900,,,,125,2.95,9,326,2748,13.01,0.74,4.00,5.60,0.15,,
"Little Sugarbush",1998-08-24,7,1,,,,,,6.740,,,,,,99,2979,8978,10.55,1.05,2.67,1.36,0.00,,
"Little Trout",1998-08-06,"NEAR BOTTOM",1,,,,,,6.520,,,,,,18,451,1600,5.93,2.48,1.63,0.86,1.69,,
"Little Trout",1998-08-31,1,1,,,,,,7.820,,,,,3.00,17,338,750,6.17,2.70,1.68,0.96,0.08,,
"Little Trout",1999-07-16,1,1,,,,,351.06,7.880,,,,59,4.15,10,1160,417,6.44,2.71,1.72,1.08,,,
"Lower Kaubeshine",1998-06-04,1,1,10.48,4.25,10.71,3.98,949.16,6.840,0.060,0.544,0.729,,,8,208,2372,11.51,0.71,3.59,2.51,0.32,5.34,2.58
"Lower Kaubeshine",1998-08-27,5,1,,,,,,6.960,,,,,,25,332,4768,13.64,0.83,3.88,2.73,0.71,,
"Lynx",1999-07-10,1,1,,,,,66.26,6.870,,,,21,2.45,8,848,,1.86,0.48,0.64,0.33,,,
"Lynx",1999-08-23,13,1,,,,,,6.210,,,,36,4.50,31,1427,678,,,,,,,
"McCullough",1998-06-06,1,1,8.48,9.77,8.85,9.59,663.20,7.360,0.130,1.987,2.757,,2.40,29,381,1710,9.64,0.72,2.65,1.03,0.21,0.41,2.05
"Mid",1999-06-09,"NEAR BOTTOM",1,,,,,,9.011,,,,,,29,300,843,,,,,,,
"Mid",1999-07-07,"NEAR BOTTOM",1,,,,,,9.110,,,,,,30,714,1051,10.43,0.34,4.14,3.44,,,
"Mid",2000-07-05,1,1,9.94,5.27,10.31,5.12,,,,,,,,29,569,,,,,,,,
"Minocqua",1999-06-09,"NEAR BOTTOM",1,,,,,,6.922,,,,,,35,946,7122,,,,,,,
"Minocqua",1999-08-22,1,1,11.48,4.50,11.81,4.64,,8.251,,,,106,3.20,11,361,3608,,,,,,5.75,2.22
"Muskesin",1998-08-15,5,1,,,,,,,,,,,,7,335,24,,,,,,,
"Nixon",1998-05-13,1,1,8.11,10.81,8.58,11.64,496.52,7.910,0.152,1.740,2.288,54,,,,1794,7.88,0.40,2.50,1.42,0.00,0.65,1.44
"Partridge",1998-08-31,2,1,,,,,,8.680,,,,,,14,178,8136,10.12,0.07,2.96,1.05,0.53,,
"Randall",1998-08-13,2,1,,,,,,,,,,,1.45,27,554,6059,6.45,0.21,1.88,0.94,0.95,,
"Round",1998-08-24,1,1,,,,,,8.650,,,,129,1.50,15,321,5722,17.54,0.60,4.20,1.68,0.07,,
"Sanford",1998-08-25,12,1,,,,,,6.170,,,,,2.40,37,668,1401,3.02,0.57,0.83,0.50,2.77,,
"Sparkling",1998-07-13,0,1,8.06,3.47,8.21,3.37,,8.120,,,,,,3,142,2300,,,,,0.02,,
"Sparkling",1998-08-11,18,1,,,,,,6.690,,,,,,19,870,4454,10.87,0.75,2.85,2.43,4.05,,
"Stearns",1998-08-21,1,1,,,,,160.40,7.430,,,,24,2.00,36,308,147,2.23,0.44,0.81,0.62,0.01,,
"Tomahawk",1999-07-16,1,1,,,,,781.21,8.090,,,,91,4.30,7,485,3083,11.38,0.71,3.34,2.68,,,
"Tomahawk",2000-07-05,1,1,10.38,3.22,10.43,2.94,,,,,,,,6,269,,,,,,,,
"Trout",1998-08-12,0,1,10.63,3.12,10.69,3.23,857.00,8.500,0.017,0.287,0.429,98,,5,170,4406,12.74,0.76,,1.87,0.03,,
"Upper Kaubeshine",1998-07-21,1,1,,,,,,8.690,,,,100,7.00,9,83,1986,11.25,0.73,3.66,2.18,0.00,,
"Verna",1998-06-08,1,1,,,,,620.45,8.250,0.049,0.766,1.067,,,31,251,275,10.57,0.64,3.39,4.41,0.00,10.39,2.64
"Ward",1999-06-24,1,1,,,,,1309.31,7.790,,,,135,2.00,12,473,2409,17.27,0.66,5.56,1.87,,,
"Ward",1999-08-15,0,2,,7.81,,,,7.810,0.092,,,,,,,,,,,,,,
"White Birch",1999-06-10,"NEAR BOTTOM",1,,,,,,7.528,,,,,,17,683,54,,,,,,,
"White Birch",1999-07-10,"NEAR BOTTOM",1,,,,,,6.830,,,,,,31,819,473,8.81,0.59,2.58,1.45,,,
"White Birch",2000-07-04,1,1,7.53,6.09,7.73,6.17,,,,,,,,16,639,,,,,,,,
"White Sand",1998-06-03,18,1,,,,,,7.100,,,,,,11,192,4853,9.13,0.61,2.48,1.62,0.08,,
"White Sand",1998-08-24,18,1,,,,,,6.770,,,,,,3,0,5554,9.16,0.62,2.45,1.67,0.02,,
"Wild Rice",1998-08-10,7,1,,,,,,7.040,,,,,,27,610,6011,13.67,0.63,3.59,1.91,0.99,,
"Wildcat",1999-06-08,1,1,,,,,,8.209,0.040,0.658,0.959,184,2.70,13,466,4889,,,,,,,
