PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM
J	KIRCHMAN, DL				KIRCHMAN, DL			LIMITATION OF BACTERIAL-GROWTH BY DISSOLVED ORGANIC-MATTER IN THE SUB-ARCTIC PACIFIC	MARINE ECOLOGY PROGRESS SERIES																													0171-8630					APR	1990	62	1-2					47	54		10.3354/meps062047						WOS:A1990CZ63900005		
J	LAPIN, IA; ANIKIEV, VV; VINNIKOV, YY; TAMBIEVA, NS; SHUMILIN, EN				LAPIN, IA; ANIKIEV, VV; VINNIKOV, YY; TAMBIEVA, NS; SHUMILIN, EN			BIOGEOCHEMICAL ASPECTS OF DISSOLVED ORGANIC-MATTER BEHAVIOR IN ESTUARY OF RAZDOLNAYA RIVER - THE AMUR BAY OF THE JAPAN SEA	OKEANOLOGIYA																													0030-1574					MAR-APR	1990	30	2					234	240								WOS:A1990CZ95100012		
J	NELSON, PN; COTSARIS, E; OADES, JM; BURSILL, DB				NELSON, PN; COTSARIS, E; OADES, JM; BURSILL, DB			INFLUENCE OF SOIL CLAY CONTENT ON DISSOLVED ORGANIC-MATTER IN STREAM WATERS	AUSTRALIAN JOURNAL OF MARINE AND FRESHWATER RESEARCH												Dissolved organic carbon (DOC) is of major importance for freshwater ecology and water treatment, particularly in Australia. Work comparing two small catchments, one yielding water with high DOC concentrations (Lawless) and the other yielding water with low DOC concentrations (Retreat Valley), is described. Differences between stream DOC concentrations in the two catchments were related to differences between the properties of the catchment soils. The Retreat Valley soils had higher C contents than the Lawless soils, but the C was less soluble, resulting in lower DOC concentrations in soil core leachates. The lower solubility of C in the Retreat Valley soils was the result of a higher clay content and hence a higher surface area for adsorption reactions. The Retreat Valley soils had a higher adsorption capacity for organic matter than did the Lawless soils. The clay contents of soils was found to be an important factor influencing stream DOC concentrations throughout the Mt Lofty Ranges, and the prediction of DOC concentrations in streams on a broad scale is discussed.				Nelson, Paul/A-7377-2011	Nelson, Paul/0000-0002-0615-6407												0067-1940						1990	41	6					761	774								WOS:A1990EV48400007		
J	KAN, AT; TOMSON, MB				KAN, AT; TOMSON, MB			GROUND-WATER TRANSPORT OF HYDROPHOBIC ORGANIC-COMPOUNDS IN THE PRESENCE OF DISSOLVED ORGANIC-MATTER	ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY																													0730-7268						1990	9	3					253	263		10.1897/1552-8618(1990)9[253:GWTOHO]2.0.CO;2						WOS:A1990CU93500002		
J	MILLS, GL; SCHWIND, D				MILLS, GL; SCHWIND, D			PHOTOCHEMICAL DEGRADATION RATES OF TETRAPHENYLBORATE AND DIPHENYLBORIC ACID SENSITIZED BY DISSOLVED ORGANIC-MATTER IN STREAM WATER	ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY																													0730-7268						1990	9	5					569	574		10.1897/1552-8618(1990)9[569:PDROTA]2.0.CO;2						WOS:A1990DD72300005		
J	DALY, HR; JONES, MJ; HART, BT; CAMPBELL, IC				DALY, HR; JONES, MJ; HART, BT; CAMPBELL, IC			COPPER TOXICITY TO PARATYA-AUSTRALIENSIS .3. INFLUENCE OF DISSOLVED ORGANIC-MATTER	ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY																													0730-7268						1990	9	8					1013	1018								WOS:A1990DU47600007		
J	AMY, GL; ALLEMAN, BC; CLUFF, CB				AMY, GL; ALLEMAN, BC; CLUFF, CB			REMOVAL OF DISSOLVED ORGANIC-MATTER BY NANOFILTRATION	JOURNAL OF ENVIRONMENTAL ENGINEERING-ASCE																													0733-9372					JAN-FEB	1990	116	1					200	205		10.1061/(ASCE)0733-9372(1990)116:1(200)						WOS:A1990CK75500012		
B	LIND, OT; DAVALOS, LO		STRASKRABOVA, V		LIND, OT; DAVALOS, LO			CLAY, DISSOLVED ORGANIC-MATTER, AND BACTERIAL INTERACTIONS IN 2 RESERVOIRS	PROCEEDINGS OF THE FOURTH INTERNATIONAL WORKSHOP ON THE MEASUREMENT OF MICROBIAL ACTIVITIES IN THE CARBON CYCLE IN AQUATIC ECOSYSTEMS	ERGEBNISSE DER LIMNOLOGIE				4TH INTERNATIONAL WORKSHOP ON THE MEASUREMENT OF MICROBIAL ACTIVITIES IN THE CARBON CYCLE IN AQUATIC ECOSYSTEMS	1988	CESKE BUDEJOVICE, CZECHOSLOVAKIA	ACAD SCI CZECHOSLOVAKIA, INST LANDSCAPE ECOL, HYDROBIOL SECT																							3-510-47035-4				1990	34						119	125								WOS:A1990BS86S00016		
J	LAFRANCE, P; BANTON, O; CAMPBELL, PGC; VILLENEUVE, JP				LAFRANCE, P; BANTON, O; CAMPBELL, PGC; VILLENEUVE, JP			A COMPLEXATION ADSORPTION MODEL DESCRIBING THE INFLUENCE OF DISSOLVED ORGANIC-MATTER ON THE MOBILITY OF HYDROPHOBIC COMPOUNDS IN GROUNDWATER	WATER SCIENCE AND TECHNOLOGY					INTERNATIONAL SYMP ON PROCESSES GOVERNING THE MOVEMENT AND FATE OF CONTAMINANTS IN THE SUBSURFACE ENVIRONMENT	JUL 23-26, 1989	STANFORD UNIV, STANFORD, CA	INT ASSOC WATER POLLUT RES & CONTROL, STANFORD UNIV, W REG HAZARDOUS SUBST RES CTR, OREGON STATE UNIV, W REG HAZARDOUS SUBST RES CTR, US EPA, GEOL SURVEY, NATL SCI FDN	STANFORD UNIV							Campbell, Peter/H-4348-2011	Campbell, Peter/0000-0001-7160-4571												0273-1223						1990	22	6					15	22								WOS:A1990CZ77300004		
J	VODACEK, A				VODACEK, A			SYNCHRONOUS FLUORESCENCE SPECTROSCOPY OF DISSOLVED ORGANIC-MATTER IN SURFACE WATERS - APPLICATION TO AIRBORNE REMOTE-SENSING	REMOTE SENSING OF ENVIRONMENT																Vodacek, Anthony/F-1585-2011	Vodacek, Anthony/0000-0001-9196-0928												0034-4257					DEC	1989	30	3					239	247		10.1016/0034-4257(89)90065-5						WOS:A1989DN09700004		
J	STONE, AT				STONE, AT			THE EFFECT OF DISMAL SWAMP DISSOLVED ORGANIC-MATTER ON THE ADSORPTION AND SURFACE-ENHANCED HYDROLYSIS OF MONOPHENYL TEREPHTHALATE IN ALUMINUM-OXIDE SUSPENSIONS	JOURNAL OF COLLOID AND INTERFACE SCIENCE																Stone, Alan/A-2569-2010	Stone, Alan/0000-0002-3660-1129												0021-9797					OCT 1	1989	132	1					81	87		10.1016/0021-9797(89)90218-X						WOS:A1989AT82700010		
J	LEE, DY; FARMER, WJ				LEE, DY; FARMER, WJ			DISSOLVED ORGANIC-MATTER INTERACTION WITH NAPROPAMIDE AND 4 OTHER NONIONIC PESTICIDES	JOURNAL OF ENVIRONMENTAL QUALITY																													0047-2425					OCT-DEC	1989	18	4					468	474								WOS:A1989AX58800012		
J	MILNE, PJ; ZIKA, RG				MILNE, PJ; ZIKA, RG			LUMINESCENCE QUENCHING OF DISSOLVED ORGANIC-MATTER IN SEAWATER	MARINE CHEMISTRY																													0304-4203					OCT	1989	27	3-4					147	164		10.1016/0304-4203(89)90045-5						WOS:A1989AX25000001		
J	FARMER, WJ				FARMER, WJ			DISSOLVED ORGANIC-MATTER AND THE SORPTION OF ORGANIC SOLUTES BY ENVIRONMENTAL SUBSTRATES	ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY																													0065-7727					SEP 10	1989	198						30	ENVR								WOS:A1989DG64201048		
J	DRUFFEL, ERM; WILLIAMS, PM; SUZUKI, Y				DRUFFEL, ERM; WILLIAMS, PM; SUZUKI, Y			CONCENTRATIONS AND RADIOCARBON SIGNATURES OF DISSOLVED ORGANIC-MATTER IN THE PACIFIC-OCEAN	GEOPHYSICAL RESEARCH LETTERS																													0094-8276					SEP	1989	16	9					991	994		10.1029/GL016i009p00991						WOS:A1989AP36800002		
J	PHILPOT, WD; VODACEK, A				PHILPOT, WD; VODACEK, A			LASER-INDUCED FLUORESCENCE - LIMITS TO THE REMOTE DETECTION OF HYDROGEN-ION, ALUMINUM, AND DISSOLVED ORGANIC-MATTER	REMOTE SENSING OF ENVIRONMENT																Vodacek, Anthony/F-1585-2011; 	Vodacek, Anthony/0000-0001-9196-0928; Philpot, William/0000-0002-5283-4774												0034-4257					JUL	1989	29	1					51	65		10.1016/0034-4257(89)90078-3						WOS:A1989AZ89000005		
J	KRAMER, JR; BRASSARD, P; COLLINS, PV				KRAMER, JR; BRASSARD, P; COLLINS, PV			ACID-BASE ANALYSIS OF DISSOLVED ORGANIC-MATTER IN SURFACE WATERS	WATER AIR AND SOIL POLLUTION					SYMP ON THE ACIDIFICATION OF ORGANIC WATERS IN KEJIMKUJIK NATIONAL PARK, NOVA SCOTIA, CANADA	OCT 25-27, 1988	WOLFVILLE, CANADA																						0049-6979					JUL-AUG	1989	46	1-4					199	204								WOS:A1989CF46900017		
J	KOTRA, RK; OREM, WH				KOTRA, RK; OREM, WH			STRUCTURAL STUDIES OF DISSOLVED ORGANIC-MATTER BY ANALYTICAL PYROLYSIS	ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY																													0065-7727					APR 9	1989	197						28	GEOC								WOS:A1989T577601145		
J	OREM, WH				OREM, WH			DISSOLVED ORGANIC-MATTER IN PEATS - CHEMICAL-STRUCTURE AND ORIGIN	ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY																													0065-7727					APR 9	1989	197						30	GEOC								WOS:A1989T577601147		
J	SERVOS, MR; MUIR, DCG; WEBSTER, GRB				SERVOS, MR; MUIR, DCG; WEBSTER, GRB			THE EFFECT OF DISSOLVED ORGANIC-MATTER ON THE BIOAVAILABILITY OF POLYCHLORINATED DIBENZO-PARA-DIOXINS	AQUATIC TOXICOLOGY																Servos, Mark/A-3454-2015	Servos, Mark/0000-0002-3783-627X												0166-445X					MAR	1989	14	2					169	184		10.1016/0166-445X(89)90026-X						WOS:A1989T857800005		
J	LOVGREN, L; SJOBERG, S				LOVGREN, L; SJOBERG, S			EQUILIBRIUM APPROACHES TO NATURAL-WATER SYSTEMS .7. COMPLEXATION REACTIONS OF COPPER(II), CADMIUM(II) AND MERCURY(II) WITH DISSOLVED ORGANIC-MATTER IN A CONCENTRATED BOG-WATER	WATER RESEARCH																													0043-1354					MAR	1989	23	3					327	332		10.1016/0043-1354(89)90098-5						WOS:A1989U526600009		
J	FISH, CL; DRISCOLL, MS; HASSETT, JP; LITTEN, S				FISH, CL; DRISCOLL, MS; HASSETT, JP; LITTEN, S			EFFECT OF DISSOLVED ORGANIC-MATTER ON EXTRACTION EFFICIENCIES - ORGANOCHLORINE COMPOUNDS FROM NIAGARA RIVER WATER	ACS SYMPOSIUM SERIES																													0097-6156						1989	219						223	229								WOS:A1989T614000016		
J	WEBSTER, GRB; SERVOS, MR; CHOUDHRY, GG; SARNA, LP; MUIR, DCG				WEBSTER, GRB; SERVOS, MR; CHOUDHRY, GG; SARNA, LP; MUIR, DCG			METHODS FOR DISSOLVING HYDROPHOBIC COMPOUNDS IN WATER - INTERACTIONS WITH DISSOLVED ORGANIC-MATTER	ACS SYMPOSIUM SERIES																Servos, Mark/A-3454-2015	Servos, Mark/0000-0002-3783-627X												0097-6156						1989	219						251	262								WOS:A1989T614000018		
J	KHRISTOFOROVA, NK				KHRISTOFOROVA, NK			DISSOLVED ORGANIC-MATTER IN THE WATERS OF KRATERNAYA BIGHT, KURILE-ISLANDS	BIOLOGIYA MORYA-MARINE BIOLOGY																	Khristoforova, Nadezhda/0000-0002-9559-8660												0134-3475						1989		3					44	49								WOS:A1989AL87000006		
J	MCCARTHY, JF; ROBERSON, LE; BURRUS, LW				MCCARTHY, JF; ROBERSON, LE; BURRUS, LW			ASSOCIATION OF BENZO(A)PYRENE WITH DISSOLVED ORGANIC-MATTER - PREDICTION OF KDOM FROM STRUCTURAL AND CHEMICAL-PROPERTIES OF THE ORGANIC-MATTER	CHEMOSPHERE																													0045-6535						1989	19	12					1911	1920		10.1016/0045-6535(89)90014-3						WOS:A1989CQ23800013		
J	SERVOS, MR; MUIR, DCG				SERVOS, MR; MUIR, DCG			EFFECT OF DISSOLVED ORGANIC-MATTER FROM CANADIAN SHIELD LAKES ON THE BIOAVAILABILITY OF 1,3,6,8-TETRACHLORODIBENZO-PARA-DIOXIN TO THE AMPHIPOD CRANGONYX-LAURENTIANUS	ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY																Servos, Mark/A-3454-2015	Servos, Mark/0000-0002-3783-627X												0730-7268						1989	8	2					141	150		10.1897/1552-8618(1989)8[141:EODOMF]2.0.CO;2						WOS:A1989U943400005		
J	BOURBONNIERE, RA				BOURBONNIERE, RA			DISTRIBUTION PATTERNS OF DISSOLVED ORGANIC-MATTER FRACTIONS IN NATURAL-WATERS FROM EASTERN CANADA	ORGANIC GEOCHEMISTRY																													0146-6380						1989	14	1					97	107		10.1016/0146-6380(89)90023-5						WOS:A1989U827600010		
B	TOGGWEILER, JR		BERGER, WH; SMETACEK, VS; WEFER, G		TOGGWEILER, JR			IS THE DOWNWARD DISSOLVED ORGANIC-MATTER (DOM) FLUX IMPORTANT IN CARBON TRANSPORT	PRODUCTIVITY OF THE OCEAN : PRESENT AND PAST	LIFE SCIENCES RESEARCH REPORT				DAHLEM WORKSHOP ON PRODUCTIVITY OF THE OCEAN : PRESENT AND PAST	APR 24-29, 1988	BERLIN, FED REP GER	DAHLEM KONF, SENAT STADT BERLIN, STIFTERVERBAND DEUT WISSENSCH, WILHELM WOORST STIFTUNG								Gerold, Wefer/S-2291-2016	Gerold, Wefer/0000-0002-6803-2020														0-471-92246-3				1989	44						65	83								WOS:A1989BQ17Q00004		
J	KNUUTINEN, J; VIRKKI, L; MANNILA, P; MIKKELSON, P; PAASIVIRTA, J; HERVE, S				KNUUTINEN, J; VIRKKI, L; MANNILA, P; MIKKELSON, P; PAASIVIRTA, J; HERVE, S			HIGH-PERFORMANCE LIQUID-CHROMATOGRAPHIC STUDY OF DISSOLVED ORGANIC-MATTER IN NATURAL-WATERS	WATER RESEARCH																													0043-1354					AUG	1988	22	8					985	990		10.1016/0043-1354(88)90145-5						WOS:A1988Q499900006		
J	KUO, CJJ; AMY, GL				KUO, CJJ; AMY, GL			FACTORS AFFECTING COAGULATION WITH ALUMINUM SULFATE .2. DISSOLVED ORGANIC-MATTER REMOVAL	WATER RESEARCH																													0043-1354					JUL	1988	22	7					863	872		10.1016/0043-1354(88)90024-3						WOS:A1988P910200008		
J	TIPPING, E; HILTON, J; JAMES, B				TIPPING, E; HILTON, J; JAMES, B			DISSOLVED ORGANIC-MATTER IN CUMBRIAN LAKES AND STREAMS	FRESHWATER BIOLOGY																Tipping, Edward/I-6309-2012	Tipping, Edward/0000-0001-6618-6512												0046-5070					JUN	1988	19	3					371	378		10.1111/j.1365-2427.1988.tb00358.x						WOS:A1988N849600008		
J	POWER, JF; LANGFORD, CH				POWER, JF; LANGFORD, CH			OPTICAL ABSORBANCE OF DISSOLVED ORGANIC-MATTER IN NATURAL-WATER STUDIES USING THE THERMAL LENS EFFECT	ANALYTICAL CHEMISTRY																													0003-2700					MAY 1	1988	60	9					842	846		10.1021/ac00160a004						WOS:A1988N220800007		
J	SERRA, J; SALVADOR, A; DELAGUARDIA, M				SERRA, J; SALVADOR, A; DELAGUARDIA, M			DISSOLVED ORGANIC-MATTER CONTENT IN THE ALBUFERA LAKE WATERS AND IN THE SURROUNDING IRRIGATION CHANNELS	REVISTA DE AGROQUIMICA Y TECNOLOGIA DE ALIMENTOS																													0034-7698					MAR	1988	28	1					56	66								WOS:A1988N148400005		
J	MUDAMBI, AR; HASSETT, JP				MUDAMBI, AR; HASSETT, JP			PHOTOCHEMICAL ACTIVITY OF MIREX ASSOCIATED WITH DISSOLVED ORGANIC-MATTER	CHEMOSPHERE																													0045-6535						1988	17	6					1133	1146		10.1016/0045-6535(88)90179-8						WOS:A1988P288800006		
J	LAPIN, IA; ANIKIEV, VV; ILIICHEV, VI				LAPIN, IA; ANIKIEV, VV; ILIICHEV, VI			A MECHANISM OF THE SEDIMENTATION OF DISSOLVED ORGANIC-MATTER ON ESTUARIES	DOKLADY AKADEMII NAUK SSSR																													0002-3264						1988	301	6					1475	1478								WOS:A1988Q439200048		
J	CABANISS, SE; SHUMAN, MS				CABANISS, SE; SHUMAN, MS			COPPER-BINDING BY DISSOLVED ORGANIC-MATTER .1. SUWANNEE RIVER FULVIC-ACID EQUILIBRIA	GEOCHIMICA ET COSMOCHIMICA ACTA																													0016-7037					JAN	1988	52	1					185	193		10.1016/0016-7037(88)90066-X						WOS:A1988M048000016		
J	CABANISS, SE; SHUMAN, MS				CABANISS, SE; SHUMAN, MS			COPPER-BINDING BY DISSOLVED ORGANIC-MATTER .2. VARIATION IN TYPE AND SOURCE OF ORGANIC-MATTER	GEOCHIMICA ET COSMOCHIMICA ACTA																													0016-7037					JAN	1988	52	1					195	200		10.1016/0016-7037(88)90067-1						WOS:A1988M048000017		
J	GLASER, D				GLASER, D			SIMULTANEOUS CONSUMPTION OF BACTERIA AND DISSOLVED ORGANIC-MATTER BY TETRAHYMENA-PYRIFORMIS	MICROBIAL ECOLOGY																													0095-3628						1988	15	2					189	201		10.1007/BF02011712						WOS:A1988M091400007	24203000	
J	MILLER, JC				MILLER, JC			EVIDENCE FOR THE USE OF NON-DETRITAL DISSOLVED ORGANIC-MATTER BY MICROHETEROTROPHS ON PLANT DETRITUS IN A WOODLAND STREAM	FRESHWATER BIOLOGY																													0046-5070					DEC	1987	18	3					483	494		10.1111/j.1365-2427.1987.tb01333.x						WOS:A1987L289300009		
J	WILLIAMS, PM; DRUFFEL, ERM				WILLIAMS, PM; DRUFFEL, ERM			RADIOCARBON IN DISSOLVED ORGANIC-MATTER IN THE CENTRAL NORTH PACIFIC-OCEAN	NATURE																Martinez-Vicente, Victor/F-5131-2010	Martinez-Vicente, Victor/0000-0003-3492-583X												0028-0836					NOV 19	1987	330	6145					246	248		10.1038/330246a0						WOS:A1987K889600051		
J	SATOH, Y; ABE, H				SATOH, Y; ABE, H			DISSOLVED ORGANIC-MATTER IN COLORED WATER FROM MOUNTAIN BOG POOLS IN JAPAN .2. BIOLOGICAL DECOMPOSABILITY	ARCHIV FUR HYDROBIOLOGIE																													0003-9136					NOV	1987	111	1					25	35								WOS:A1987L347500003		
J	SATOH, Y; SHOJI, S; SATOH, H; TAKANASHI, M				SATOH, Y; SHOJI, S; SATOH, H; TAKANASHI, M			DISSOLVED ORGANIC-MATTER IN COLORED WATER FROM MOUNTAIN BOG POOLS IN JAPAN .1. SEASONAL-CHANGES IN THE CONCENTRATION AND MOLECULAR-WEIGHT DISTRIBUTION	ARCHIV FUR HYDROBIOLOGIE																													0003-9136					OCT	1987	110	4					589	603								WOS:A1987K740600008		
J	CARLUCCI, AF; SHIMP, SL; CRAVEN, DB				CARLUCCI, AF; SHIMP, SL; CRAVEN, DB			BACTERIAL RESPONSE TO LABILE DISSOLVED ORGANIC-MATTER INCREASES ASSOCIATED WITH MARINE DISCONTINUITIES	FEMS MICROBIOLOGY ECOLOGY																													0168-6496					AUG	1987	45	4					211	220		10.1111/j.1574-6968.1987.tb02358.x						WOS:A1987J739800004		
J	MOORE, TR				MOORE, TR			PATTERNS OF DISSOLVED ORGANIC-MATTER IN SUB-ARCTIC PEATLANDS	EARTH SURFACE PROCESSES AND LANDFORMS																													0197-9337					JUL-AUG	1987	12	4					387	397		10.1002/esp.3290120405						WOS:A1987J330000004		
J	CABANISS, SE; SHUMAN, MS				CABANISS, SE; SHUMAN, MS			SYNCHRONOUS FLUORESCENCE-SPECTRA OF NATURAL-WATERS - TRACING SOURCES OF DISSOLVED ORGANIC-MATTER	MARINE CHEMISTRY																													0304-4203					MAY	1987	21	1					37	50		10.1016/0304-4203(87)90028-4						WOS:A1987H469900004		
J	TANAKA, Y				TANAKA, Y			BIOCHEMICAL OXIDATION OF DISSOLVED ORGANIC-MATTER BY SLUDGE ORGANISMS	NIPPON SUISAN GAKKAISHI																													0021-5392					MAY	1987	53	5					801	807								WOS:A1987J409500015		
J	MILLS, GL; CARTER, DJ				MILLS, GL; CARTER, DJ			PHOTOCHEMICAL DEGRADATION OF TETRAPHENYLBORON SENSITIZED BY DISSOLVED ORGANIC-MATTER IN NATURAL-WATER	ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY																													0065-7727					APR 5	1987	193						55	ENVR								WOS:A1987G289601040		
J	DRISCOLL, MS; HASSETT, JP; FETTERS, C; LITTEN, S				DRISCOLL, MS; HASSETT, JP; FETTERS, C; LITTEN, S			THE EFFECT OF DISSOLVED ORGANIC-MATTER ON THE EXTRACTION EFFICIENCIES OF ORGANOCHLORINE COMPOUNDS FROM THE NIAGARA RIVER	ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY																													0065-7727					APR 5	1987	193						71	ENVR								WOS:A1987G289601056		
J	WEBSTER, GRB; SARNA, LP; CHOUDHRY, GG; SERVOS, MR; MUIR, DCG				WEBSTER, GRB; SARNA, LP; CHOUDHRY, GG; SERVOS, MR; MUIR, DCG			METHODS FOR DISSOLVING HYDROPHOBICS FOR STUDIES OF AQUEOUS-SOLUTION INTERACTIONS WITH DISSOLVED ORGANIC-MATTER	ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY																Servos, Mark/A-3454-2015	Servos, Mark/0000-0002-3783-627X												0065-7727					APR 5	1987	193						72	ENVR								WOS:A1987G289601057		
J	MUDAMBI, AR; HASSETT, JP				MUDAMBI, AR; HASSETT, JP			PHOTOCHEMICAL ACTIVITY OF MIREX ASSOCIATED WITH DISSOLVED ORGANIC-MATTER	ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY																													0065-7727					APR 5	1987	193						76	ENVR								WOS:A1987G289601061		
J	LANDRUM, PF; EADIE, BJ; NIHART, SR; REINHOLD, MD				LANDRUM, PF; EADIE, BJ; NIHART, SR; REINHOLD, MD			CONFIRMATION OF THE REVERSE-PHASE MEASURE OF XENOBIOTIC PARTITIONING TO DISSOLVED ORGANIC-MATTER BY TOXICOKINETIC STUDIES	ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY																													0065-7727					APR 5	1987	193						102	ENVR								WOS:A1987G289601087		
J	CABANISS, SE; SHUMAN, MS				CABANISS, SE; SHUMAN, MS			MODELING COPPER-BINDING BY DISSOLVED ORGANIC-MATTER	ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY																													0065-7727					APR 5	1987	193						103	GEOC								WOS:A1987G289601382		
J	TRATNYEK, PG; MACALADY, DL				TRATNYEK, PG; MACALADY, DL			ABIOTIC REDUCTION OF METHYL PARATHION IN LABORATORY SYSTEMS DESIGNED TO MODEL DISSOLVED ORGANIC-MATTER	ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY																													0065-7727					APR 5	1987	193						105	ENVR								WOS:A1987G289601090		
J	WEBER, WJ; SMITH, EH				WEBER, WJ; SMITH, EH			THE EFFECTS OF BACKGROUND DISSOLVED ORGANIC-MATTER ON ADSORPTION PROCESSES	ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY																													0065-7727					APR 5	1987	193						118	ENVR								WOS:A1987G289601103		
J	BAKER, JH; FARR, IS				BAKER, JH; FARR, IS			IMPORTANCE OF DISSOLVED ORGANIC-MATTER PRODUCED BY DUCKWEED (LEMNA-MINOR) IN A SOUTHERN ENGLISH RIVER	FRESHWATER BIOLOGY																													0046-5070					APR	1987	17	2					325	330		10.1111/j.1365-2427.1987.tb01052.x						WOS:A1987G595000011		
J	SERVAIS, P; BILLEN, G; HASCOET, MC				SERVAIS, P; BILLEN, G; HASCOET, MC			DETERMINATION OF THE BIODEGRADABLE FRACTION OF DISSOLVED ORGANIC-MATTER IN WATERS	WATER RESEARCH																													0043-1354					APR	1987	21	4					445	450		10.1016/0043-1354(87)90192-8						WOS:A1987H521800008		
J	MILLS, GL; MCFADDEN, E; QUINN, JG				MILLS, GL; MCFADDEN, E; QUINN, JG			CHROMATOGRAPHIC STUDIES OF DISSOLVED ORGANIC-MATTER AND COPPER ORGANIC-COMPLEXES ISOLATED FROM ESTUARINE WATERS	MARINE CHEMISTRY																													0304-4203					MAR	1987	20	4					313	325		10.1016/0304-4203(87)90065-X						WOS:A1987H036300002		
J	SMITH, EH; TSENG, SK; WEBER, WJ				SMITH, EH; TSENG, SK; WEBER, WJ			MODELING THE ADSORPTION OF TARGET COMPOUNDS BY GAC IN THE PRESENCE OF BACKGROUND DISSOLVED ORGANIC-MATTER	ENVIRONMENTAL PROGRESS																													0278-4491					FEB	1987	6	1					18	25		10.1002/ep.670060119						WOS:A1987G099200004		
J	AXLER, RP; REUTER, JE				AXLER, RP; REUTER, JE			A SIMPLE METHOD FOR ESTIMATING THE N-15 CONTENT OF DISSOLVED ORGANIC-MATTER (DO N-15) IN N-CYCLING STUDIES	CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES																													0706-652X					JAN	1987	44	1					130	133		10.1139/f87-016						WOS:A1987G059200015		
J	KHAILOV, KM; KAMENIR, YG				KHAILOV, KM; KAMENIR, YG			PROPORTION OF PHOTOSYNTHESIS AND DISSOLVED ORGANIC-MATTER ASSIMILATION IN SIZE SERIES OF SEA ALGAE	DOPOVIDI AKADEMII NAUK UKRAINSKOI RSR SERIYA B-GEOLOGICHNI KHIMICHNI TA BIOLOGICHNI NAUKI																													0002-3523						1987		8					77	80								WOS:A1987J815000027		
J	LANDRUM, PF; NIHART, SR; EADIE, BJ; HERCHE, LR				LANDRUM, PF; NIHART, SR; EADIE, BJ; HERCHE, LR			REDUCTION IN BIOAVAILABILITY OF ORGANIC CONTAMINANTS TO THE AMPHIPOD PONTOPOREIA-HOYI BY DISSOLVED ORGANIC-MATTER OF SEDIMENT INTERSTITIAL WATERS	ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY																													0730-7268						1987	6	1					11	20		10.1897/1552-8618(1987)6[11:RIBOOC]2.0.CO;2						WOS:A1987F824800002		
J	OREM, WH; HATCHER, PG				OREM, WH; HATCHER, PG			SOLID-STATE C-13 NMR-STUDIES OF DISSOLVED ORGANIC-MATTER IN PORE WATERS FROM DIFFERENT DEPOSITIONAL-ENVIRONMENTS	ORGANIC GEOCHEMISTRY																													0146-6380						1987	11	2					73	82		10.1016/0146-6380(87)90029-5						WOS:A1987J618200003		
J	PIEMONTESI, D; BACCINI, P				PIEMONTESI, D; BACCINI, P			CHEMICAL CHARACTERISTICS OF DISSOLVED ORGANIC-MATTER IN INTERSTITIAL WATERS OF LACUSTRINE SEDIMENTS AND ITS INFLUENCE ON COPPER AND ZINC TRANSPORT	ENVIRONMENTAL TECHNOLOGY LETTERS																													0143-2060					NOV	1986	7	11					577	592								WOS:A1986F143800004		
J	BENNER, R; PEELE, ER; HODSON, RE				BENNER, R; PEELE, ER; HODSON, RE			MICROBIAL UTILIZATION OF DISSOLVED ORGANIC-MATTER FROM LEAVES OF THE RED MANGROVE, RHIZOPHORA-MANGLE, IN THE FRESH CREEK ESTUARY, BAHAMAS	ESTUARINE COASTAL AND SHELF SCIENCE																Benner, Ronald/M-4412-2015	Benner, Ronald/0000-0002-1238-2777												0272-7714					NOV	1986	23	5					607	619		10.1016/0272-7714(86)90102-2						WOS:A1986F143500003		
