PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM
J	FIEBIG, DM; LOCK, MA				FIEBIG, DM; LOCK, MA			IMMOBILIZATION OF DISSOLVED ORGANIC-MATTER FROM GROUNDWATER DISCHARGING THROUGH THE STREAM BED	FRESHWATER BIOLOGY												1. In laboratory experiments, 9.7-25.7% of dissolved organic carbon (DOC) in groundwater (at concentrations of 18.7-24.8 mg 1-1) was immobilized after perfusion through 8-cm-deep (22-cm-diameter) cores of stony stream-bed substratum. 2. This represented immobilization rates of 7.1-23.5 mg m-2 h-1 or, extrapolated across the year, potential immobilization rates within the stream bed of 62.2-205.9 g m-2 yr-1. Actual rates in the entire stream bed were probably higher because perfusion through the experimental cores did not reduce groundwater DOC concentrations to levels measured in the adjacent stream. 3. Natural concentrations of dissolved free amino acids (DFAAs) in groundwater were generally unchanged following perfusion through the cores, suggesting the maintenance of a dynamic equilibrium in their concentrations. 4. Selective enrichments of amino acids in groundwater (up to 20-fold) were entirely immobilized following perfusion, indicating their rapid retention and flux in this environment. Thus, immobilization of the bulk DOC in stream-bed cores probably did not reflect net reductions in dissolved free, low-molecular-weight material, with higher molecular weight, more 'refractory' material being immobilized instead. 5. We conclude that groundwater can contribute substantial amounts of DOC, both high and low molecular weight, to a stream ecosystem. The stream bed is the site at which much of this material could be initially immobilized and made available to the stream trophic structure.																	0046-5070					AUG	1991	26	1					45	55		10.1111/j.1365-2427.1991.tb00507.x						WOS:A1991GL71100005		
J	BENNER, R; EADIE, BJ				BENNER, R; EADIE, BJ			ISOLATION BY ULTRAFILTRATION OF A NEW COMPONENT OF DISSOLVED ORGANIC-MATTER	ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY																													0065-7727					APR 14	1991	201		1				11	GEOC								WOS:A1991FG89301673		
J	COBLE, PG				COBLE, PG			CHARACTERIZATION OF DISSOLVED ORGANIC-MATTER USING TOTAL FLUORESCENCE SPECTROSCOPY	ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY																													0065-7727					APR 14	1991	201		1				12	GEOC								WOS:A1991FG89301674		
J	ALPERIN, MJ				ALPERIN, MJ			DIAGENETIC FRACTIONATION OF CARBON ISOTOPES IN PARTICULATE AND DISSOLVED ORGANIC-MATTER IN SEDIMENTS FROM SKAN BAY, ALASKA	ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY																													0065-7727					APR 14	1991	201		1				33	GEOC								WOS:A1991FG89301695		
J	LEENHEER, JA				LEENHEER, JA			CHEMISTRY OF DISSOLVED ORGANIC-MATTER IN RIVERS, LAKES, AND RESERVOIRS	ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY																													0065-7727					APR 14	1991	201		1				89	ENVR								WOS:A1991FG89301472		
B	KOGELKNABNER, I; KNABNER, P; DESCHAUER, H		WILSON, WS		KOGELKNABNER, I; KNABNER, P; DESCHAUER, H			DISSOLVED ORGANIC-MATTER AS CARRIER FOR EXOGENOUS ORGANIC-CHEMICALS IN SOILS	ADVANCES IN SOIL ORGANIC MATTER RESEARCH : THE IMPACT ON AGRICULTURE AND THE ENVIRONMENT					JOINT SYMP ON ADVANCES IN SOIL ORGANIC MATTER RESEARCH : THE IMPACT ON AGRICULTURE AND THE ENVIRONMENT	SEP 03-04, 1990	UNIV ESSEX, COLCHESTER, ENGLAND	ROYAL SOC CHEM, BRIT SOC SOIL SCI, INT HUM SUBST SOC	UNIV ESSEX							Kogel-Knabner, Ingrid/A-7905-2008	Kogel-Knabner, Ingrid/0000-0002-7216-8326														0-85186-387-6				1991	90						121	128								WOS:A1991BU10B00011		
J	MANAHAN, DT; WRIGHT, SH				MANAHAN, DT; WRIGHT, SH			UPTAKE OF DISSOLVED ORGANIC-MATTER FROM SEAWATER BY MARINE-INVERTEBRATES - THE STEPHENS,GROVER,C. ERA	AMERICAN ZOOLOGIST																													0003-1569						1991	31	5					A3	A3								WOS:A1991GV28500008		
J	SHILLING, FM; MANAHAN, DT				SHILLING, FM; MANAHAN, DT			USING DISSOLVED ORGANIC-MATTER TO MEET THE METABOLIC NEEDS OF DEVELOPMENT IN AN EXTREME ENVIRONMENT (ANTARCTICA)	AMERICAN ZOOLOGIST																													0003-1569						1991	31	5					A4	A4								WOS:A1991GV28500010		
J	WELBORN, JR; MANAHAN, DT				WELBORN, JR; MANAHAN, DT			BIOCHEMICAL RESPONSES OF ANTARCTIC ASTEROID LARVAE TO DISSOLVED ORGANIC-MATTER	AMERICAN ZOOLOGIST																													0003-1569						1991	31	5					A4	A4								WOS:A1991GV28500009		
B	COBLE, PG; GAGOSIAN, RB		IZDAR, E; MURRAY, JW		COBLE, PG; GAGOSIAN, RB			THE NATURE AND DISTRIBUTION OF FLUORESCENT DISSOLVED ORGANIC-MATTER IN THE BLACK-SEA AND THE CARIACO TRENCH	BLACK SEA OCEANOGRAPHY	NATO ADVANCED SCIENCE INSTITUTES SERIES, SERIES C, MATHEMATICAL AND PHYSICAL SCIENCES				NATO ADVANCED RESEARCH WORKSHOP ON BLACK SEA OCEANOGRAPHY	OCT 23-27, 1989	CESME IZMIR, TURKEY	NATO, NATL SCI FDN, DOKUZ EYLUL UNIV, INST MARINE SCI																							0-7923-1515-4				1991	351						361	378								WOS:A1991BV04S00022		
J	HEMPFLING, R; SCHULTEN, HR				HEMPFLING, R; SCHULTEN, HR			DIRECT CHEMICAL CHARACTERIZATION OF DISSOLVED ORGANIC-MATTER IN WATER BY PYROLYSIS-FIELD IONIZATION MASS-SPECTROMETRY	INTERNATIONAL JOURNAL OF ENVIRONMENTAL ANALYTICAL CHEMISTRY																													0306-7319						1991	43	1					55	62		10.1080/03067319108028119						WOS:A1991FD10100007		
B	BENNER, R		HURD, DC; SPENCER, DW		BENNER, R			ULTRA-FILTRATION FOR THE CONCENTRATION OF BACTERIA, VIRUSES, AND DISSOLVED ORGANIC-MATTER	MARINE PARTICLES : ANALYSIS AND CHARACTERIZATION	GEOPHYSICAL MONOGRAPH SERIES				WORKSHOP ON MARINE PARTICLES : ANALYSIS AND CHARACTERIZATION	JAN 20-25, 1991	HI	NATL SCI FDN, US DOE, WOODS HOLE OCEANOG INST																							0-87590-028-3				1991	63						181	185								WOS:A1991BW44Q00024		
B	MARINEAU, L; LAFRANCE, P; VILLENEUVE, JP		WROBEL, LC; BREBBIA, CA		MARINEAU, L; LAFRANCE, P; VILLENEUVE, JP			THE INFLUENCE OF NATURAL DISSOLVED ORGANIC-MATTER FOUND IN GROUNDWATER ON THE ADSORPTION AND MOBILITY OF PENTACHLOROPHENOL	WATER POLLUTION : MODELLING, MEASURING AND PREDICTION					1ST INTERNATIONAL CONF ON WATER POLLUTION : MODELLING, MEASURING AND PREDICTION	SEP , 1991	SOUTHAMPTON, ENGLAND																								1-85312-146-0				1991							413	426								WOS:A1991BU70F00029		
J	KOUASSI, AM; ZIKA, RG				KOUASSI, AM; ZIKA, RG			LIGHT-INDUCED ALTERATION OF THE PHOTOPHYSICAL PROPERTIES OF DISSOLVED ORGANIC-MATTER IN SEAWATER .1. PHOTOREVERSIBLE PROPERTIES OF NATURAL-WATER FLUORESCENCE	NETHERLANDS JOURNAL OF SEA RESEARCH												Fluorescence of humic substances changes when these substances are exposed to an ultraviolet monochromatic light source. Fluorescence decreased with time of exposure when the irradiation took place at wavelengths of 334.1, 366 and 404.5 nm and increased with time at wavelengths of 265.2, 280.4, 296.7 and 313 nm. In addition, the process involved appeared to be partially photoreversible. The fluorescence decay resulting from irradiation at one of the longer wavelength bands could recover when followed by an irradiation interval at one of the shorter wavelength bands. In contrast, with polychromatic sunlight irradiation, only decreases in fluorescence were observed. Although the actual nature of the chromophores responsible for these fluorescence processes is still unknown, the results of this work suggest that the chromophoric unit responsible for the observed changes exists in both marine and terrestrial materials.																	0077-7579					DEC	1990	27	1					25	32		10.1016/0077-7579(90)90031-B						WOS:A1990FA34300002		
J	KOUASSI, AM; ZIKA, RG; PLANE, JMC				KOUASSI, AM; ZIKA, RG; PLANE, JMC			LIGHT-INDUCED ALTERATION OF THE PHOTOPHYSICAL PROPERTIES OF DISSOLVED ORGANIC-MATTER IN SEAWATER .2. ESTIMATES OF THE ENVIRONMENTAL RATES OF THE NATURAL-WATER FLUORESCENCE	NETHERLANDS JOURNAL OF SEA RESEARCH												From the absorbance and the product of the 'true' quantum yield and the absorption cross-section at specific wavelength and the solar fluxes, light attenuation model calculations were made to determine the rate of the fluorescence decay in the ocean. A mixed-layer model calculation was also used to explain the spatial and temporal variations in the fluorescence profile of natural water.				Plane, John/C-7444-2015	Plane, John/0000-0003-3648-6893												0077-7579					DEC	1990	27	1					33	41		10.1016/0077-7579(90)90032-C						WOS:A1990FA34300003		
J	PAGES, J; GADEL, F				PAGES, J; GADEL, F			DISSOLVED ORGANIC-MATTER AND UV ABSORPTION IN A TROPICAL HYPERHALINE ESTUARY	SCIENCE OF THE TOTAL ENVIRONMENT																													0048-9697					DEC 1	1990	99	1-2					173	204		10.1016/0048-9697(90)90222-G						WOS:A1990EL76800017		
J	COBLE, PG; GREEN, SA; BLOUGH, NV; GAGOSIAN, RB				COBLE, PG; GREEN, SA; BLOUGH, NV; GAGOSIAN, RB			CHARACTERIZATION OF DISSOLVED ORGANIC-MATTER IN THE BLACK-SEA BY FLUORESCENCE SPECTROSCOPY	NATURE																Blough, Neil/B-7727-2009													0028-0836					NOV 29	1990	348	6300					432	435		10.1038/348432a0						WOS:A1990EK69700057		
J	HEIKKINEN, K				HEIKKINEN, K			SEASONAL-CHANGES IN IRON TRANSPORT AND NATURE OF DISSOLVED ORGANIC-MATTER IN A HUMIC RIVER IN NORTHERN FINLAND	EARTH SURFACE PROCESSES AND LANDFORMS																													0197-9337					NOV	1990	15	7					583	596		10.1002/esp.3290150702						WOS:A1990ED55400001		
