site,YK_Pohjoinen,YK_ita,date,acdom,wl,toc,doc,cod_mn,tp,tn_d11,tn_d12,temp,no2_no3,ph,fe
Valkea-Kotinen,6793840,3396364,19/10/1999,190,254,4250,3995,68,18,1200,NA,4.4,78,4,425
Valkea-Kotinen,6793840,3396364,04/11/1999,162,254,3500,3290,53,16,NA,NA,5,NA,4,372
Valkea-Kotinen,6793953,3396309,11/07/2007,68,254,3500,3290,35,230,NA,2200,17.1,2,5.3,360
Valkea-Kotinen,6793840,3396364,16/10/1991,188,254,3367,3165,63,19,890,NA,7.9,NA,4.1,600
Valkea-Kotinen,6793840,3396364,23/04/1996,161,254,3250,3055,51,21,850,NA,0.3,15,3.8,290
Valkea-Kotinen,6793840,3396364,28/10/1992,174,254,3208,3016,52,13,700,NA,1.3,NA,4.1,490
Valkea-Kotinen,6793840,3396364,12/11/1997,144,254,3167,2977,49,13,720,NA,2.6,18,4.2,394
Valkea-Kotinen,6793840,3396364,19/10/1994,146,254,3092,2906,49,9,600,NA,3.3,NA,4,363
Valkea-Kotinen,6793953,3396309,14/08/2007,93.5,254,3000,2820,42,210,NA,2500,19.4,2,5.4,240
Valkea-Kotinen,6793840,3396364,02/10/1995,154,254,2917,2742,53,18,770,NA,7.8,19,4.1,484
Valkea-Kotinen,6793840,3396364,25/06/2012,170,254,2917,2742,55,20,NA,790,12.5,5,4.3,385
Valkea-Kotinen,6793840,3396364,13/10/1993,152,254,2850,2679,44,21,670,NA,6.1,NA,4.2,500
Valkea-Kotinen,6793840,3396364,31/10/1996,138,254,2833,2663,42,16,NA,NA,5.1,39,4.3,470
Valkea-Kotinen,6793953,3396309,23/04/2003,133,254,2833,2663,43,22,1300,NA,0.3,80,4.9,990
Valkea-Kotinen,6793953,3396309,25/07/2005,171,254,2833,2663,50,29,860,NA,13.8,4,4.6,610
Valkea-Kotinen,6793840,3396364,30/11/1999,133,254,2750,2585,NA,16,920,NA,2.1,54,4.1,321
Valkea-Kotinen,6793840,3396364,17/11/1999,131,254,2750,2585,44,13,980,NA,1,120,4.1,322
Valkea-Kotinen,6793840,3396364,15/08/2005,179,254,2750,2585,44,19,650,NA,14.7,9,4.4,390
Valkea-Kotinen,6793840,3396364,08/10/2008,164,254,2750,2585,47,18,NA,690,5.9,1,4.4,470
Valkea-Kotinen,6793840,3396364,16/04/1996,133,254,2667,2507,41,15,680,NA,0.3,6,3.9,360
Valkea-Kotinen,6793840,3396364,18/11/1996,131,254,2667,2507,40,12,720,NA,4.2,26,4.1,340
Valkea-Kotinen,6793840,3396364,29/09/1998,161,254,2667,2507,47,14,680,NA,8.7,15,4.4,560
Valkea-Kotinen,6793840,3396364,15/03/2005,158,254,2667,2507,43,16,770,NA,0.2,21,4.2,360
Valkea-Kotinen,6793840,3396364,03/09/2012,160,254,2667,2507,46,16,NA,790,15.4,16,4.4,470
Valkea-Kotinen,6793840,3396364,28/09/2004,154,254,2583,2428,42,14,590,NA,10.8,10,4.5,540
Valkea-Kotinen,6793840,3396364,06/04/2010,120,254,2583,2428,38,16,NA,840,0.2,73,4.5,400
Valkea-Kotinen,6793840,3396364,14/07/2011,150,254,2583,2428,47,20,NA,800,13.6,30,4.5,425
Valkea-Kotinen,6793840,3396364,09/04/1996,125,254,2500,2350,37,15,660,NA,0.5,12,3.9,318
Valkea-Kotinen,6793840,3396364,13/12/1999,122,254,2500,2350,40,14,830,NA,1.7,58,4.2,283
Valkea-Kotinen,6793840,3396364,31/08/2004,158,254,2500,2350,40,26,760,NA,13.8,10,4.5,450
Valkea-Kotinen,6793840,3396364,20/04/2004,144,254,2500,2350,39,15,640,NA,1.2,37,4.3,350
Valkea-Kotinen,6793840,3396364,29/11/2005,154,254,2500,2350,40,15,730,NA,2,38,4.5,410
Kelopuro,7011934,3686152,24/10/2006,98,254,2500,2350,41,13,680,NA,3.9,2.5,4.79,345
Valkea-Kotinen,6793840,3396364,17/10/2006,130,254,2500,2350,42,14,NA,700,8.2,25,4.2,250
Valkea-Kotinen,6793840,3396364,09/11/2010,120,254,2500,2350,36,10,NA,660,1.8,27,4.3,255
Valkea-Kotinen,6793840,3396364,25/03/1991,138,254,2458,2311,47,16,720,NA,0.5,NA,4.2,370
Valkea-Kotinen,6793840,3396364,14/07/1998,117,254,2417,2272,37,18,570,NA,17.1,7,4.3,290
Valkea-Kotinen,6793840,3396364,14/04/2000,120,254,2417,2272,38,12,720,NA,0.9,58,4.2,339
Valkea-Kotinen,6793840,3396364,10/06/2009,146,254,2417,2272,41,21,NA,610,9.5,NA,4.4,410
Valkea-Kotinen,6793840,3396364,12/04/2011,110,254,2417,2272,37,14,NA,840,0.3,73,4.4,385
Valkea-Kotinen,6793840,3396364,16/04/2012,140,254,2417,2272,41,13,NA,820,0.7,71,4.3,335
Valkea-Kotinen,6793840,3396364,29/10/2001,132,254,2333,2193,39,13,640,NA,6.5,21,4.5,430
Valkea-Kotinen,6793840,3396364,03/12/2008,140,254,2333,2193,40,17,NA,720,1.9,33,4.4,370
Valkea-Kotinen,6793840,3396364,19/04/2011,120,254,2333,2193,36,13,NA,750,1,26,4.2,315
Valkea-Kotinen,6793840,3396364,11/04/2001,120,254,2267,2131,37,12,620,NA,1,36,4.3,330
Valkea-Kotinen,6793840,3396364,15/10/1998,130,254,2250,2115,38,11,680,NA,6.7,16,4.5,520
Valkea-Kotinen,6793840,3396364,12/04/1999,124,254,2250,2115,38,13,760,NA,0.5,71,4.3,400
Valkea-Kotinen,6793840,3396364,26/10/2004,137,254,2250,2115,38,7,690,NA,5.7,28,4.6,490
Valkea-Kotinen,6793840,3396364,11/01/2005,131,254,2250,2115,37,11,650,NA,0.8,44,4.5,400
Valkea-Kotinen,6793840,3396364,27/04/2009,137,254,2250,2115,39,18,NA,580,2,NA,4.3,290
Valkea-Kotinen,6793840,3396364,07/10/2009,129,254,2250,2115,38,20,NA,650,5.7,NA,4.6,425
Valkea-Kotinen,6793840,3396364,26/11/2009,124,254,2250,2115,37,17,NA,680,2.6,NA,4.6,460
Valkea-Kotinen,6793840,3396364,29/09/1993,117,254,2183,2052,36,17,610,NA,4.9,NA,4.4,540
Valkea-Kotinen,6793840,3396364,13/08/1998,132,254,2167,2037,41,19,670,NA,14,8,4.4,390
Valkea-Kotinen,6793840,3396364,15/12/2004,135,254,2167,2037,36,12,730,NA,0.9,47,4.8,540
Valkea-Kotinen,6793840,3396364,13/04/2004,122,254,2167,2037,33,13,680,NA,0.5,73,4.5,370
Valkea-Kotinen,6793840,3396364,17/09/2007,119,254,2167,2037,34,17,NA,620,9.1,3,4.5,360
Hietapuro,7012761,3687222,09/10/2008,104.2,254,2167,2037,35,15,520,NA,4.7,2.5,5.34,660
Valkea-Kotinen,6793840,3396364,18/08/2008,128,254,2167,2037,36,21,NA,630,15.2,5,4.5,320
Valkea-Kotinen,6793840,3396364,23/11/1993,96.2,254,2158,2029,31,20,770,NA,0.2,NA,4.7,560
Valkea-Kotinen,6793840,3396364,15/11/2000,100,254,2125,1998,33,13,610,NA,5.2,25,4.3,270
Valkea-Kotinen,6793840,3396364,01/11/1994,98.2,254,2100,1974,28,22,510,NA,4.6,NA,4.2,321
Valkea-Kotinen,6793840,3396364,21/04/1998,101,254,2083,1958,32,14,700,NA,0.8,59,4.4,361
Valkea-Kotinen,6793840,3396364,18/11/2004,127,254,2083,1958,34,13,660,NA,1.6,34,4.7,440
Valkea-Kotinen,6793840,3396364,13/07/2004,113,254,2083,1958,34,46,1000,NA,16.9,4,4.6,260
Valkea-Kotinen,6793840,3396364,14/01/2009,128,254,2083,1958,36,16,NA,710,0.7,38,4.5,425
Valkea-Kotinen,6793840,3396364,06/04/2009,126,254,2083,1958,35,16,NA,880,0.3,NA,4.5,480
Valkea-Kotinen,6793840,3396364,14/04/2009,118,254,2083,1958,33,17,NA,650,0.4,NA,4.6,425
Valkea-Kotinen,6793840,3396364,12/04/2010,110,254,2083,1958,33,15,NA,720,0.8,53,4.5,355
Valkea-Kotinen,6793840,3396364,18/09/1991,121,254,2025,1904,38,60,980,NA,NA,NA,5.4,820
Valkea-Kotinen,6793840,3396364,14/09/1993,106,254,2008,1888,33,19,710,NA,8.2,NA,4.5,440
Valkea-Kotinen,6793840,3396364,03/10/2001,98.4,254,2000,1880,29,11.9,500,NA,8.9,12.9,4.5,360
Valkea-Kotinen,6793840,3396364,17/04/2002,106,254,2000,1880,32,12,550,NA,NA,27,4.4,350
Valkea-Kotinen,6793840,3396364,27/11/2002,103,254,2000,1880,33,13,680,NA,0.2,29,4.7,370
Valkea-Kotinen,6793840,3396364,16/07/2003,99.5,254,2000,1880,32,17,590,NA,19.5,19,4.5,360
Valkea-Kotinen,6793840,3396364,03/11/2003,96.4,254,2000,1880,28,13,650,NA,2.8,27,4.6,290
Valkea-Kotinen,6793953,3396309,15/12/2004,120,254,2000,1880,32,13,730,NA,0.6,36,5,530
Valkea-Kotinen,6793840,3396364,05/10/2004,117,254,2000,1880,31,14,530,NA,8.6,14,4.7,490
Valkea-Kotinen,6793840,3396364,04/08/2004,116,254,2000,1880,32,39,810,NA,19.5,1,4.6,250
Valkea-Kotinen,6793840,3396364,16/01/2006,116,254,2000,1880,32,15,710,NA,0.7,44,4.7,380
Valkea-Kotinen,6793953,3396309,04/10/2006,98.9,254,2000,1880,31,24,NA,930,10.8,21,4.8,380
Valkea-Kotinen,6793840,3396364,03/10/2007,110,254,2000,1880,32,17,NA,570,10.6,5,4.6,370
Valkea-Kotinen,6793840,3396364,20/10/2008,119,254,2000,1880,34,18,NA,610,6.3,16,4.6,400
Valkea-Kotinen,6793840,3396364,03/11/2008,109,254,2000,1880,31,19,NA,580,4,13,4.6,370
Valkea-Kotinen,6793840,3396364,01/10/2012,110,254,2000,1880,31,14,NA,580,9.7,2.5,4.5,360
Kelopuro,7011934,3686152,27/09/1993,61.1,254,1992,1872,18,7,250,NA,4.4,NA,5.47,310
Musta-Kotinen,6795114,3395221,13/10/1993,107,254,1992,1872,32,21,610,NA,6.3,NA,4.8,640
Valkea-Kotinen,6793840,3396364,02/04/1991,98.3,254,1917,1802,32,14,640,NA,0.5,NA,4.4,370
Valkea-Kotinen,6793840,3396364,06/11/1995,92.4,254,1917,1802,29,13,620,NA,1.8,41,4.2,327
Valkea-Kotinen,6793840,3396364,11/07/1996,95,254,1917,1802,28,18,600,NA,13.8,1,4.2,276
Valkea-Kotinen,6793840,3396364,29/10/1997,86.6,254,1917,1802,27,12,520,NA,2.7,14,4.4,278
Valkea-Kotinen,6793840,3396364,15/10/1997,73.1,254,1917,1802,25,15,540,NA,4.3,9,5,287
Valkea-Kotinen,6793840,3396364,14/05/2002,108,254,1917,1802,33,13,550,NA,11.4,12,4.4,310
Valkea-Kotinen,6793840,3396364,03/04/2002,106,254,1917,1802,31,10,660,NA,0.6,53,4.5,380
Valkea-Kotinen,6793840,3396364,06/02/2002,99,254,1917,1802,31,10,640,NA,0.4,37,4.6,350
Valkea-Kotinen,6793840,3396364,02/12/2003,107,254,1917,1802,29,14,730,NA,1.7,37,4.5,300
Valkea-Kotinen,6793840,3396364,01/06/2004,112,254,1917,1802,31,13,520,NA,9.7,15,4.5,240
Valkea-Kotinen,6793953,3396309,28/09/2004,106,254,1917,1802,30,13,540,NA,11,5,4.8,460
Valkea-Kotinen,6793840,3396364,27/04/2006,107,254,1917,1802,31,18,NA,700,1.1,57,4.6,360
Valkea-Kotinen,6793840,3396364,28/03/2007,110,254,1917,1802,31,14,NA,660,1.4,46,4.4,320
Valkea-Kotinen,6793840,3396364,04/04/2007,106,254,1917,1802,30,14,NA,550,0.6,23,4.4,270
Valkea-Kotinen,6793840,3396364,14/06/2010,110,254,1917,1802,32,17,NA,570,11.9,8.5,4.6,340
Valkea-Kotinen,6793840,3396364,10/10/2011,94.1,254,1917,1802,29,12,NA,570,7.6,7.5,4.5,260
Valkea-Kotinen,6793840,3396364,20/03/1991,102,254,1908,1794,34,15,740,NA,0.2,NA,4.3,320
Valkea-Kotinen,6793840,3396364,19/04/2001,93,254,1867,1755,28,11,490,NA,1.5,22,4.4,290
Valkea-Kotinen,6793840,3396364,27/11/1991,95.1,254,1833,1723,31,14,690,NA,4,NA,4.4,350
Valkea-Kotinen,6793840,3396364,05/07/1995,99.8,254,1833,1723,28,24,630,NA,11.7,23,4.5,469
Valkea-Kotinen,6793840,3396364,25/04/1995,85.3,254,1833,1723,26,14,600,NA,2,49,4.4,372
Valkea-Kotinen,6793840,3396364,15/01/1996,100,254,1833,1723,29,9,570,NA,0.3,27,4.1,286
Musta-Kotinen,6795114,3395221,15/10/1997,84.3,254,1833,1723,24,13,500,NA,4.5,13,4.9,442
Valkea-Kotinen,6793840,3396364,29/04/1997,91.6,254,1833,1723,27,12,540,NA,1.1,29,4.3,280
Valkea-Kotinen,6793840,3396364,02/12/1998,91.1,254,1833,1723,26,13,660,NA,1,38,4.8,380
Valkea-Kotinen,6793840,3396364,13/03/2001,99,254,1833,1723,27,11,700,NA,0.7,53,4.4,300
Valkea-Kotinen,6793840,3396364,19/10/2004,143,254,1833,1723,30,14,580,NA,5.6,25,4.8,450
Valkea-Kotinen,6793953,3396309,31/08/2004,106.1,254,1833,1723,29,20,650,NA,14.6,1,4.9,390
Valkea-Kotinen,6793840,3396364,16/06/2005,108,254,1833,1723,30,20,540,NA,13.8,19,4.6,320
Valkea-Kotinen,6793840,3396364,22/11/2006,107,254,1833,1723,31,14,NA,640,1.7,17,4.5,280
Valkea-Kotinen,6793840,3396364,19/03/2007,102,254,1833,1723,25,15,NA,730,0.5,33,4.6,400
Valkea-Kotinen,6793840,3396364,02/04/2008,109,254,1833,1723,31,14,NA,760,0.6,77,4.5,410
Valkea-Kotinen,6793840,3396364,20/04/2009,106,254,1833,1723,30,20,NA,580,0.5,NA,4.6,405
Valkea-Kotinen,6793840,3396364,26/10/2009,102,254,1833,1723,31,17,NA,550,4.5,NA,4.8,370
Valkea-Kotinen,6793840,3396364,10/05/2010,98,254,1833,1723,28,24,NA,570,5.5,24,4.6,350
Valkea-Kotinen,6793840,3396364,23/11/2010,88.9,254,1833,1723,27,13,NA,620,0.6,20,4.6,280
Kelopuro,7011934,3686152,11/10/2011,91.8,254,1833,1723,28,5,330,NA,7.2,2.5,5,580
Valkea-Kotinen,6793840,3396364,07/12/2011,90.9,254,1833,1723,28,12,NA,660,1.3,30,4.7,270
Valkea-Kotinen,6793840,3396364,30/10/2012,110,254,1833,1723,33,13,NA,630,3.4,12,4.7,400
Musta-Kotinen,6794633,3395707,15/04/1997,92,254,1750,1645,24,23,560,NA,1.7,23,4.6,440
Valkea-Kotinen,6793840,3396364,12/03/1997,88.5,254,1750,1645,26,10,620,NA,0.5,65,4.4,310
Valkea-Kotinen,6793840,3396364,25/11/1997,83.8,254,1750,1645,27,12,530,NA,1.2,26,4.4,302
Valkea-Kotinen,6793840,3396364,28/04/1998,91.2,254,1750,1645,37,19,570,NA,2,43,4.3,252
Valkea-Kotinen,6793840,3396364,18/04/2000,90,254,1750,1645,28,12,570,NA,1.2,67,4.3,289
Valkea-Kotinen,6793953,3396309,17/04/2002,88.8,254,1750,1645,26,14,550,NA,0.9,34,4.7,420
Valkea-Kotinen,6793840,3396364,17/11/2003,95.1,254,1750,1645,26,15,660,NA,3.2,38,4.7,280
Valkea-Kotinen,6793840,3396364,20/05/2003,86.1,254,1750,1645,26,14,510,NA,11,7,4.5,260
Valkea-Kotinen,6793840,3396364,12/10/2004,107,254,1750,1645,30,13,570,NA,4.2,19,4.8,410
Valkea-Kotinen,6793840,3396364,02/11/2004,107,254,1750,1645,28,13,600,NA,2.6,28,4.8,410
Valkea-Kotinen,6793840,3396364,30/11/2004,102,254,1750,1645,27,13,710,NA,0.5,51,5,430
Valkea-Kotinen,6793953,3396309,05/10/2004,96.3,254,1750,1645,26,14,530,NA,8.3,6,5,450
Valkea-Kotinen,6793840,3396364,19/09/2005,99.4,254,1750,1645,28,17,540,NA,8.7,29,4.7,310
Valkea-Kotinen,6793953,3396309,15/08/2005,98,254,1750,1645,26,18,560,NA,15.8,2,4.8,290
Valkea-Kotinen,6793840,3396364,06/11/2007,100,254,1750,1645,28,15,NA,630,2.7,20,4.7,350
Valkea-Kotinen,6793840,3396364,10/04/2007,95.6,254,1750,1645,28,18,NA,570,0.7,22,4.4,270
Valkea-Kotinen,6794148,3396198,12/03/2009,99.1,254,1750,1645,28,34,NA,730,4.2,23,5,560
Valkea-Kotinen,6793840,3396364,19/04/2010,92,254,1750,1645,28,15,NA,560,2.3,46,4.5,260
Valkea-Kotinen,6793840,3396364,19/11/2012,110,254,1750,1645,33,12,NA,620,3.1,23,4.6,370
Valkea-Kotinen,6793840,3396364,12/12/2012,95.7,254,1750,1645,27,13,NA,670,0.5,33,4.8,370
Valkea-Kotinen,6793840,3396364,17/09/2012,95.6,254,1750,1645,29,16,NA,650,11.8,7.9,4.6,315
Musta-Kotinen,6794633,3395707,15/12/1993,95.4,254,1725,1622,27,28,610,NA,0.9,NA,4.8,670
Valkea-Kotinen,6793840,3396364,24/04/2001,91,254,1725,1622,28,12,480,NA,2.6,11,4.3,250
Musta-Kotinen,6795114,3395221,15/12/1993,94.8,254,1717,1614,26,28,640,NA,0,NA,4.9,670
Valkea-Kotinen,6793840,3396364,06/07/1994,92,254,1700,1598,30,51,820,NA,13.1,NA,4.6,481
Valkea-Kotinen,6793840,3396364,26/10/1993,82.8,254,1683,1582,27,14,500,NA,1.6,NA,4.5,410
Musta-Kotinen,6795114,3395221,06/10/1994,85,254,1667,1567,28,11,440,NA,2.6,NA,4.8,507
Valkea-Kotinen,6793840,3396364,07/06/1995,95,254,1667,1567,28,26,680,NA,14.7,11,4.3,358
Valkea-Kotinen,6793840,3396364,18/04/1995,84.5,254,1667,1567,26,11,570,NA,0.7,35,4.4,358
Musta-Kotinen,6795114,3395221,11/07/1996,92.7,254,1667,1567,25,13,490,NA,13.6,7,4.4,407
Musta-Kotinen,6794633,3395707,14/08/1996,90.6,254,1667,1567,24,16,490,NA,18.8,4,4.7,470
Musta-Kotinen,6794633,3395707,12/03/1997,90.3,254,1667,1567,24,18,540,NA,1.3,60,4.6,470
Valkea-Kotinen,6793840,3396364,08/04/1997,81.9,254,1667,1567,24,12,650,NA,0.2,74,4.5,300
Valkea-Kotinen,6793840,3396364,16/09/1998,90.2,254,1667,1567,25,12,510,NA,12.9,7,4.6,350
Valkea-Kotinen,6793840,3396364,16/10/2001,94.5,254,1667,1567,28,11,530,NA,8.4,17,4.6,360
Valkea-Kotinen,6793840,3396364,14/11/2001,90.7,254,1667,1567,27,12,610,NA,1.3,28,4.7,320
Valkea-Kotinen,6793840,3396364,12/02/2001,86,254,1667,1567,27,11,640,NA,0.7,54,4.5,320
Valkea-Kotinen,6793840,3396364,25/03/2002,90.5,254,1667,1567,26,9,620,NA,0.1,44,4.6,340
Valkea-Kotinen,6793840,3396364,24/04/2002,89.3,254,1667,1567,27,12,480,NA,2.7,5,4.4,240
Valkea-Kotinen,6793840,3396364,16/12/2003,87.6,254,1667,1567,22,12,690,NA,0.3,45,4.8,310
Valkea-Kotinen,6793953,3396309,13/07/2004,75.4,254,1667,1567,30,77,1500,NA,19.2,3,5.3,220
Valkea-Kotinen,6793953,3396309,11/01/2005,97.9,254,1667,1567,28,11,610,NA,0.5,52,5,400
Valkea-Kotinen,6793953,3396309,15/03/2005,96.9,254,1667,1567,26,11,830,NA,0.2,45,5.1,530
Valkea-Kotinen,6793840,3396364,11/05/2005,96.5,254,1667,1567,26,15,540,NA,7.6,25,4.7,330
Valkea-Kotinen,6793840,3396364,04/12/2006,99.5,254,1667,1567,28,12,NA,630,3,22,4.5,270
Valkea-Kotinen,6793953,3396309,19/04/2006,82.5,254,1667,1567,24,15,NA,1000,0.4,380,4.4,280
Valkea-Kotinen,6793840,3396364,09/01/2007,99.8,254,1667,1567,29,12,NA,700,1.5,47,4.5,300
Valkea-Kotinen,6793840,3396364,16/04/2007,89.7,254,1667,1567,25,22,NA,590,5.2,16,4.5,290
Valkea-Kotinen,6793840,3396364,31/01/2007,85.6,254,1667,1567,24,15,NA,720,0.3,50,4.8,340
Valkea-Kotinen,6793840,3396364,03/05/2010,93,254,1667,1567,27,20,NA,630,4,26,4.7,300
Kelopuro,7011934,3686152,26/10/2011,85.2,254,1667,1567,27,5,320,NA,4.4,2.5,4.95,520
Valkea-Kotinen,6793840,3396364,25/10/2011,82.4,254,1667,1567,27,11,NA,580,5.5,7.6,4.6,260
Pieni.Hietajarvi,7012111,3686181,21/08/2012,89.8,254,1667,1567,29,12,NA,340,13.8,2.5,5.04,860
Valkea-Kotinen,6793840,3396364,29/11/2000,82,254,1642,1543,24,11,590,NA,2.2,37,4.5,270
Valkea-Kotinen,6793840,3396364,09/11/1993,81.6,254,1617,1520,27,12,540,NA,0.8,NA,4.7,390
Valkea-Kotinen,6793840,3396364,03/04/2001,77,254,1617,1520,23,9,680,NA,5,120,4.6,320
Valkea-Kotinen,6793840,3396364,24/03/1992,88.8,254,1600,1504,28,12,600,NA,NA,NA,4.5,320
Valkea-Kotinen,6793840,3396364,15/06/2000,83,254,1600,1504,25,20,570,NA,9.8,34,4.5,350
Valkea-Kotinen,6793840,3396364,15/11/1994,76.6,254,1583,1488,26,10,490,NA,1.2,NA,4.5,303
Valkea-Kotinen,6793840,3396364,13/04/1994,76.4,254,1583,1488,25,15,760,NA,1.2,NA,4.5,482
Valkea-Kotinen,6793840,3396364,17/10/1995,79,254,1583,1488,25,12,490,NA,7.9,19,4.3,308
Valkea-Kotinen,6793840,3396364,15/11/1995,76.8,254,1583,1488,22,13,600,NA,1.9,45,4.4,307
Musta-Kotinen,6795114,3395221,14/08/1996,91.2,254,1583,1488,24,24,590,NA,15.1,43,4.7,720
Musta-Kotinen,6794633,3395707,13/05/1997,85.8,254,1583,1488,23,19,520,NA,5.7,12,4.6,420
Musta-Kotinen,6795114,3395221,12/03/1997,85.4,254,1583,1488,22,16,530,NA,0.5,67,4.6,430
Valkea-Kotinen,6793840,3396364,06/05/1998,78.9,254,1583,1488,24,20,610,NA,6.7,24,4.4,277
Valkea-Kotinen,6793840,3396364,21/04/1999,85.5,254,1583,1488,24,16,580,NA,2.1,53,4.4,280
Valkea-Kotinen,6793840,3396364,29/11/2001,80.1,254,1583,1488,23,10,580,NA,1.1,34,4.8,230
Valkea-Kotinen,6793840,3396364,10/04/2002,92.5,254,1583,1488,27,11,580,NA,0.7,48,4.6,370
Valkea-Kotinen,6793840,3396364,20/03/2002,87.7,254,1583,1488,25,9,660,NA,0.4,46,4.7,370
Valkea-Kotinen,6793840,3396364,30/04/2002,85.7,254,1583,1488,24,18,540,NA,5.1,11,4.6,350
Kelopuro,7011934,3686152,23/10/2003,84.5,254,1583,1488,28,6,310,NA,3.2,9,4.8,460
Valkea-Kotinen,6793840,3396364,21/10/2003,78.5,254,1583,1488,22,14,570,NA,3.6,21,4.7,240
Valkea-Kotinen,6793840,3396364,13/05/2003,78,254,1583,1488,25,16,520,NA,8.8,12,4.5,270
Valkea-Kotinen,6793953,3396309,20/04/2004,87.1,254,1583,1488,25,15,580,NA,1.3,52,4.8,390
Valkea-Kotinen,6793953,3396309,04/08/2004,82.6,254,1583,1488,24,40,770,NA,20.7,1,5.1,260
Valkea-Kotinen,6793840,3396364,12/01/2004,81.3,254,1583,1488,22,11,650,NA,0.2,63,4.9,310
Valkea-Kotinen,6793953,3396309,05/04/2005,106,254,1583,1488,28,27,1700,NA,0.4,190,4.5,510
Valkea-Kotinen,6793840,3396364,14/04/2005,94.6,254,1583,1488,26,12,480,NA,0.8,46,4.6,300
Valkea-Kotinen,6793840,3396364,15/12/2005,92.4,254,1583,1488,26,15,640,NA,0.8,43,5,350
Valkea-Kotinen,6793840,3396364,03/05/2005,91.7,254,1583,1488,24,17,530,NA,6.7,31,4.7,340
Valkea-Kotinen,6793953,3396309,27/04/2006,88.4,254,1583,1488,25,18,NA,680,1.2,71,5,390
Valkea-Kotinen,6793840,3396364,11/05/2006,88.1,254,1583,1488,24,16,NA,500,10.2,10,4.6,240
Valkea-Kotinen,6793840,3396364,07/05/2007,83,254,1583,1488,23,18,NA,540,6.7,4,4.7,270
Valkea-Kotinen,6793840,3396364,02/05/2007,82.8,254,1583,1488,24,21,NA,540,5.9,9,4.7,280
Valkea-Kotinen,6793840,3396364,15/12/2008,95.6,254,1583,1488,27,15,NA,610,1.1,35,4.7,330
Valkea-Kotinen,6793840,3396364,06/05/2008,88.5,254,1583,1488,25,23,NA,580,7,10,4.6,340
Valkea-Kotinen,6793840,3396364,09/01/2008,86.8,254,1583,1488,23,16,NA,740,0.5,43,4.9,350
Valkea-Kotinen,6793840,3396364,05/02/2008,85.3,254,1583,1488,25,14,NA,670,0.8,44,4.7,360
Valkea-Kotinen,6793840,3396364,05/02/2009,94.3,254,1583,1488,27,17,NA,690,0.2,51,4.8,395
Valkea-Kotinen,6793840,3396364,23/03/2009,93.5,254,1583,1488,27,17,NA,720,0.2,38,4.9,405
Valkea-Kotinen,6793840,3396364,29/03/2010,88,254,1583,1488,27,12,NA,760,0.2,47,5.2,405
Kelopuro,7011934,3686152,21/09/2011,72.5,254,1583,1488,23,7,340,NA,10.5,2.5,5.59,430
Valkea-Kotinen,6793840,3396364,04/04/2011,79.5,254,1583,1488,22,15,NA,850,0.2,59,5.2,385
Kelopuro,7011934,3686152,21/08/2012,81.8,254,1583,1488,28,10,NA,330,13.9,2.5,4.74,420
Kelopuro,7011934,3686152,05/09/2012,76.9,254,1583,1488,24,9,NA,320,12.9,2.5,5.12,480
Valkea-Kotinen,6793840,3396364,05/07/2012,90.4,254,1583,1488,27,45,NA,860,18.3,11,4.8,325
Valkea-Kotinen,6793840,3396364,03/04/2012,86.4,254,1583,1488,26,14,NA,760,0.4,80,4.7,285
Valkea-Kotinen,6793840,3396364,26/03/2012,82,254,1583,1488,27,12,NA,680,0.5,64,4.8,305
Valkea-Kotinen,6793840,3396364,18/12/2000,83,254,1567,1473,25,11,580,NA,2.4,46,4.5,270
Valkea-Kotinen,6793953,3396309,19/04/2001,79,254,1567,1473,24,13,490,NA,0.5,20,4.6,320
Valkea-Kotinen,6793840,3396364,14/08/1991,185,254,1558,1465,20,130,1400,NA,13.9,NA,5,1200
Valkea-Kotinen,6793840,3396364,17/03/1993,89.3,254,1550,1457,28,15,640,NA,0.3,NA,4.5,440
Musta-Kotinen,6794633,3395707,13/10/1993,88.6,254,1525,1434,25,40,470,NA,6.4,NA,4.8,610
Musta-Kotinen,6794633,3395707,09/06/1994,83.5,254,1525,1434,25,18,420,NA,15.6,NA,4.8,486
Valkea-Kotinen,6793840,3396364,05/04/1994,80,254,1525,1434,26,14,600,NA,0.3,NA,4.6,432
Valkea-Kotinen,6793840,3396364,13/11/1991,78.8,254,1500,1410,25,14,650,NA,3.2,NA,4.7,320
Musta-Kotinen,6794633,3395707,19/05/1994,88.4,254,1500,1410,24,23,450,NA,10.8,NA,4.8,515
Musta-Kotinen,6794633,3395707,12/09/1996,84.2,254,1500,1410,22,14,480,NA,11.7,9,4.7,470
Valkea-Kotinen,6793840,3396364,30/04/1996,73.7,254,1500,1410,22,13,620,NA,2.1,56,4.2,187
Valkea-Kotinen,6793840,3396364,28/05/1996,73,254,1500,1410,23,12,490,NA,9.8,20,4.4,245
Musta-Kotinen,6795114,3395221,15/04/1997,84.6,254,1500,1410,22,23,580,NA,0.3,33,4.8,400
Musta-Kotinen,6794633,3395707,17/06/1997,82,254,1500,1410,23,15,460,NA,19.4,2,4.8,420
Musta-Kotinen,6795114,3395221,15/12/1997,79.5,254,1500,1410,23,12,490,NA,0.3,39,4.8,472
Musta-Kotinen,6794633,3395707,15/10/1997,75.3,254,1500,1410,21,16,440,NA,6,3,4.9,414
