PE UV       SUBTECH     SPECTRUM    ASCII       PEDS        4.00        	
-1	
KI302B061010_1CM_CELL.Sample.Raw.asc	
10.10.2008	
10:43:01.00	
10.10.2008	
10:43:01.00	
Hermanni Kaartokallio	
	
200.000000	
1	
Lambda 650	
650N8121101	
PerkinElmer UV WinLab 6.0.2.0723 / 1.61.00 Lambda 650	
	
0	
0	
2	
0	
0	
UV/VIS	
1	
1	
1	
uv/vis/nir detector	
0	
0	
0	
0	
Fix	
 	
0	
0.24	
0	
0	
0	
 	
 	
 	
0	
 	
0	
319.2	
0	
Front	
100	
 	
 	
 	
0	
0	
0	
 	
0	
 	
 	
 	
0	
 	
 	
0	
0	
0	
0	
0	
 	
 	
 	
 	
0	
0	
#HDR	
-1	
-1	
#GR	
nm	
A	
1.0	
0.0	
800.000000	
-1.000000	
601	
8	
10.000000	
0.032098	
#DATA	
800.000000	10.000000
799.000000	0.041421
798.000000	0.041579
797.000000	0.041482
796.000000	0.041826
795.000000	0.041789
794.000000	0.041944
793.000000	0.041928
792.000000	0.042047
791.000000	0.042208
790.000000	0.042228
789.000000	0.042180
788.000000	0.042307
787.000000	0.042485
786.000000	0.042294
785.000000	0.042494
784.000000	0.042730
783.000000	0.042720
782.000000	0.042799
781.000000	0.042895
780.000000	0.042848
779.000000	0.042854
778.000000	0.043038
777.000000	0.042920
776.000000	0.042833
775.000000	0.042858
774.000000	0.042886
773.000000	0.043009
772.000000	0.042949
771.000000	0.042959
770.000000	0.043068
769.000000	0.042948
768.000000	0.042819
767.000000	0.042968
766.000000	0.043058
765.000000	0.043027
764.000000	0.042922
763.000000	0.042922
762.000000	0.042851
761.000000	0.042879
760.000000	0.042889
759.000000	0.042877
758.000000	0.042854
757.000000	0.042764
756.000000	0.042822
755.000000	0.042894
754.000000	0.043023
753.000000	0.043005
752.000000	0.043043
751.000000	0.043071
750.000000	0.042992
749.000000	0.043065
748.000000	0.043209
747.000000	0.043072
746.000000	0.043136
745.000000	0.043147
744.000000	0.043027
743.000000	0.043053
742.000000	0.043105
741.000000	0.043005
740.000000	0.042927
739.000000	0.042748
738.000000	0.042546
737.000000	0.042489
736.000000	0.042366
735.000000	0.041977
734.000000	0.041576
733.000000	0.041106
732.000000	0.040600
731.000000	0.040196
730.000000	0.039793
729.000000	0.039225
728.000000	0.038657
727.000000	0.038197
726.000000	0.037798
725.000000	0.037585
724.000000	0.037447
723.000000	0.037096
722.000000	0.036775
721.000000	0.036453
720.000000	0.036180
719.000000	0.036111
718.000000	0.035914
717.000000	0.035554
716.000000	0.035254
715.000000	0.034970
714.000000	0.034729
713.000000	0.034532
712.000000	0.034342
711.000000	0.034056
710.000000	0.033899
709.000000	0.033662
708.000000	0.033427
707.000000	0.033370
706.000000	0.033205
705.000000	0.033035
704.000000	0.032906
703.000000	0.032744
702.000000	0.032572
701.000000	0.032581
700.000000	0.032574
699.000000	0.032440
698.000000	0.032339
697.000000	0.032181
696.000000	0.032138
695.000000	0.032238
694.000000	0.032249
693.000000	0.032226
692.000000	0.032229
691.000000	0.032218
690.000000	0.032237
689.000000	0.032098
688.000000	0.032439
687.000000	0.032585
686.000000	0.032578
685.000000	0.032676
684.000000	0.032706
683.000000	0.032699
682.000000	0.032694
681.000000	0.032830
680.000000	0.033059
679.000000	0.033152
678.000000	0.033087
677.000000	0.033103
676.000000	0.033100
675.000000	0.033151
674.000000	0.033284
673.000000	0.033266
672.000000	0.033266
671.000000	0.033348
670.000000	0.033252
669.000000	0.033243
668.000000	0.033321
667.000000	0.033318
666.000000	0.033314
665.000000	0.033316
664.000000	0.033207
663.000000	0.033179
662.000000	0.033272
661.000000	0.033250
660.000000	0.033247
659.000000	0.033220
658.000000	0.033139
657.000000	0.033129
656.000000	0.033209
655.000000	0.033176
654.000000	0.033156
653.000000	0.033137
652.000000	0.033041
651.000000	0.033155
650.000000	0.033212
649.000000	0.033181
648.000000	0.033115
647.000000	0.033157
646.000000	0.033125
645.000000	0.033251
644.000000	0.033333
643.000000	0.033262
642.000000	0.033302
641.000000	0.033296
640.000000	0.033246
639.000000	0.033283
638.000000	0.033371
637.000000	0.033377
636.000000	0.033472
635.000000	0.033484
634.000000	0.033388
633.000000	0.033504
632.000000	0.033507
631.000000	0.033499
630.000000	0.033558
629.000000	0.033574
628.000000	0.033529
627.000000	0.033606
626.000000	0.033698
625.000000	0.033712
624.000000	0.033833
623.000000	0.033843
622.000000	0.033868
621.000000	0.033950
620.000000	0.034119
619.000000	0.034051
618.000000	0.034115
617.000000	0.034173
616.000000	0.034161
615.000000	0.034210
614.000000	0.034379
613.000000	0.034374
612.000000	0.034311
611.000000	0.034370
610.000000	0.034375
609.000000	0.034459
608.000000	0.034562
607.000000	0.034512
606.000000	0.034489
605.000000	0.034535
604.000000	0.034475
603.000000	0.034590
602.000000	0.034641
601.000000	0.034560
600.000000	0.034518
599.000000	0.034538
598.000000	0.034298
597.000000	0.034353
596.000000	0.034200
595.000000	0.034171
594.000000	0.034097
593.000000	0.034019
592.000000	0.033898
591.000000	0.033832
590.000000	0.033939
589.000000	0.033963
588.000000	0.033754
587.000000	0.033764
586.000000	0.033787
585.000000	0.033660
584.000000	0.033724
583.000000	0.033841
582.000000	0.033741
581.000000	0.033787
580.000000	0.033750
579.000000	0.033653
578.000000	0.033806
577.000000	0.033957
576.000000	0.033875
575.000000	0.033834
574.000000	0.033877
573.000000	0.033813
572.000000	0.033925
571.000000	0.034099
570.000000	0.034145
569.000000	0.034142
568.000000	0.034223
567.000000	0.034231
566.000000	0.034312
565.000000	0.034548
564.000000	0.034517
563.000000	0.034593
562.000000	0.034751
561.000000	0.035132
560.000000	0.034726
559.000000	0.034795
558.000000	0.034964
557.000000	0.034964
556.000000	0.035115
555.000000	0.035128
554.000000	0.035132
553.000000	0.035293
552.000000	0.035406
551.000000	0.035377
550.000000	0.035413
549.000000	0.035409
548.000000	0.035459
547.000000	0.035578
546.000000	0.035738
545.000000	0.035791
544.000000	0.035783
